gene_id,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,GO,Uniprot,chr
YGL250W,RMR1,NC_001139.9,,31910,32635,+,Rmr1p,Function unknown,"meiotic gene conversion,molecular_function,reciprocal meiotic recombination,nucleus,cytoplasm,meiotic cell cycle,nucleus,nucleus,cytoplasm,cytoplasm",P53060,VII
YGL251C,HFM1,NC_001139.9,,27921,31636,-,DNA helicase,No COG annotation,"DNA unwinding involved in DNA replication,DNA helicase activity,homologous chromosome pairing at meiosis,reciprocal meiotic recombination,nucleus,cellular nitrogen compound metabolic process,macromolecule metabolic process,primary metabolic process,meiotic cell cycle,nucleotide binding,DNA binding,helicase activity,ATP binding,hydrolase activity,metal ion binding,nucleus,nucleus,nucleic acid binding,ATP binding,zinc ion binding,nucleus,resolution of meiotic recombination intermediates,DNA helicase activity",P51979,VII
YGL252C,RTG2,NC_001139.9,,25718,27484,-,Rtg2p,Nucleotide transport and metabolism,"protein import into nucleus,protein localization to nucleus,nitrogen catabolite regulation of transcription from RNA polymerase II promoter,regulation of transcription by RNA polymerase II,mitochondria-nucleus signaling pathway,mitochondria-nucleus signaling pathway,maintenance of DNA trinucleotide repeats,positive regulation of transcription by RNA polymerase II,positive regulation of transcription by RNA polymerase II,positive regulation of transcription by RNA polymerase II,cytoplasm,phosphoprotein binding,euchromatin,regulation of transcription by RNA polymerase II",P32608,VII
YGL253W,HXK2,NC_001139.9,,23935,25395,+,hexokinase 2,Carbohydrate transport and metabolism,"hexokinase activity,hexokinase activity,hexokinase activity,fructose metabolic process,glucose metabolic process,mannose metabolic process,glycolytic process,glycolytic process,glycolytic process,regulation of transcription by glucose,glucose import,glucose import,nucleus,nucleus,mitochondrion,cytosol,cytosol,nucleotide binding,catalytic activity,hexokinase activity,ATP binding,kinase activity,transferase activity,glycolytic process,glycolytic process,metabolic process,phosphorylation,hexose metabolic process,hexokinase activity,organophosphate metabolic process,carbohydrate derivative metabolic process,mitochondrial membrane,carbohydrate metabolic process,carbohydrate metabolic process,carbohydrate metabolic process,ATP binding,ATP binding,ATP binding,ATP binding,glucose binding,phosphotransferase activity, alcohol group as acceptor,phosphotransferase activity, alcohol group as acceptor,intracellular glucose homeostasis,glycolytic process,hexokinase activity,hexokinase activity,fructose import across plasma membrane,regulation of cell size,negative regulation of apoptotic signaling pathway,mitochondrion,generation of precursor metabolites and energy,carbohydrate phosphorylation,mannokinase activity,glucokinase activity,fructokinase activity,mitochondrion,cytosol,intracellular glucose homeostasis,glycolytic process,mannose metabolic process,glucose metabolic process,glucose 6-phosphate metabolic process",P04807,VII
YGL254W,FZF1,NC_001139.9,,22304,23203,+,Fzf1p,Transcription,"RNA polymerase II cis-regulatory region sequence-specific DNA binding,nucleus,DNA-binding transcription activator activity, RNA polymerase II-specific,sequence-specific DNA binding,DNA binding,metal ion binding,nucleus,nucleus,positive regulation of transcription by RNA polymerase II,RNA polymerase II cis-regulatory region sequence-specific DNA binding,cyanamide metabolic process,zinc ion binding,positive regulation of transcription by RNA polymerase II,RNA polymerase II cis-regulatory region sequence-specific DNA binding,DNA-binding transcription activator activity, RNA polymerase II-specific,nucleus,regulation of transcription by RNA polymerase II",P32805,VII
YGL255W,ZRT1,NC_001139.9,,20978,22108,+,high-affinity Zn(2+) transporter ZRT1,Inorganic ion transport and metabolism,"plasma membrane,high-affinity zinc transmembrane transporter activity,transition metal ion transmembrane transporter activity,endoplasmic reticulum,cell periphery,monoatomic ion transport,zinc ion transport,membrane,membrane,membrane,membrane,zinc ion import across plasma membrane,zinc ion transmembrane transporter activity,transmembrane transport,zinc ion transmembrane transport,metal ion transmembrane transporter activity,zinc ion binding,metal ion transport,zinc ion import across plasma membrane,plasma membrane,high-affinity zinc transmembrane transporter activity",P32804,VII
YGL256W,ADH4,NC_001139.9,,15159,16307,+,alcohol dehydrogenase ADH4,Energy production and conversion,"alcohol dehydrogenase (NAD+) activity,amino acid catabolic process to alcohol via Ehrlich pathway,amino acid catabolic process to alcohol via Ehrlich pathway,amino acid catabolic process to alcohol via Ehrlich pathway,amino acid catabolic process to alcohol via Ehrlich pathway,amino acid catabolic process to alcohol via Ehrlich pathway,alcohol dehydrogenase (NAD+) activity,fermentation,mitochondrion,alcohol dehydrogenase (NAD+) activity,oxidoreductase activity,metal ion binding,mitochondrion,mitochondrion,mitochondrion,mitochondrion,oxidoreductase activity,oxidoreductase activity,metal ion binding,metal ion binding,zinc ion binding,alcohol dehydrogenase (NAD+) activity",P10127,VII
YGL257C,MNT2,NC_001139.9,,12481,14157,-,alpha-1%2C3-mannosyltransferase MNT2,Function unknown,"alpha-1,3-mannosyltransferase activity,alpha-1,3-mannosyltransferase activity,protein O-linked glycosylation,protein O-linked glycosylation,Golgi apparatus,mannosyltransferase activity,fungal-type vacuole membrane,cell periphery,protein glycosylation,Golgi membrane,Golgi apparatus,membrane,Golgi apparatus,transferase activity,glycosyltransferase activity,glycosyltransferase activity,protein glycosylation,protein O-linked glycosylation,alpha-1,3-mannosyltransferase activity,Golgi apparatus",P53059,VII
YGL258W,VEL1,NC_001139.9,,11110,11730,+,Vel1p,"Post-translational modification, protein turnover, and chaperones","molecular_function,biological_process,cytosol,endoplasmic reticulum,cell periphery,cytoplasm,cytosol",P53058,VII
YGL258W-A,YGL258W-A,NC_001139.9,,9162,9395,+,uncharacterized protein,Cell wall/membrane/envelope biogenesis,"biological_process,cellular_component,molecular_function",Q3E740,VII
YGL259W,YPS5,NC_001139.9,,8470,8967,+,Yps5p,Cell wall/membrane/envelope biogenesis,"biological_process,cellular_component,aspartic-type endopeptidase activity",P53057,VII
YGL260W,YGL260W,NC_001139.9,,6860,7090,+,uncharacterized protein,No COG annotation,"molecular_function,biological_process,cellular_component",P53056,VII
YGL261C,PAU11,NC_001139.9,,6290,6652,-,seripauperin PAU11,"Post-translational modification, protein turnover, and chaperones","molecular_function,biological_process,cellular_component,fungal-type cell wall,fungal-type cell wall organization,structural constituent of cell wall",P0CE93,VII
YGL262W,YGL262W,NC_001139.9,,5312,5839,+,uncharacterized protein,Function unknown,"molecular_function,biological_process,cellular_component",P53054,VII
YGL263W,COS12,NC_001139.9,,2790,3932,+,Cos12p,"Intracellular trafficking, secretion, and vesicular transport","molecular_function,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,endosome,fungal-type vacuole,membrane,membrane",P53053,VII
YGR001C,EFM5,NC_001139.9,,497133,498034,-,protein-lysine N-methyltransferase,No COG annotation,"protein-lysine N-methyltransferase activity,protein-lysine N-methyltransferase activity,peptidyl-lysine trimethylation,peptidyl-lysine trimethylation,nitrogen compound metabolic process,macromolecule methylation,primary metabolic process,cytoplasm,transferase activity,methylation,cytoplasm,methyltransferase activity,cytoplasm,nucleic acid binding,methyltransferase activity,methyltransferase activity,protein-lysine N-methyltransferase activity,protein-lysine N-methyltransferase activity,peptidyl-lysine methylation,methylation,cytoplasm",P53200,VII
YGR002C,SWC4,NC_001139.9,,498476,499906,-,Swc4p,Transcription,"protein binding,Swr1 complex,Swr1 complex,DNA repair,chromatin remodeling,chromatin remodeling,chromosome organization,NuA4 histone acetyltransferase complex,intracellular organelle,nucleus,nucleus,DNA repair,chromatin organization,nucleus,DNA damage response,nucleus,NuA4 histone acetyltransferase complex,DNA repair,chromatin remodeling,histone H4 acetylation,NuA4 histone acetyltransferase complex,histone H2A acetylation,histone H2A acetylation,transcription corepressor activity,histone H4 acetylation,NuA4 histone acetyltransferase complex,negative regulation of transcription by RNA polymerase II,Swr1 complex",P53201,VII
YGR003W,CUL3,NC_001139.9,,500132,502366,+,cullin CUL3,"Post-translational modification, protein turnover, and chaperones","macromolecule catabolic process,ubiquitin-dependent protein catabolic process,ubiquitin-protein transferase activity,Cul3-RING ubiquitin ligase complex,Cul3-RING ubiquitin ligase complex,nucleus,cytoplasm,ubiquitin protein ligase binding,ubiquitin protein ligase binding,ubiquitin-dependent protein catabolic process,ubiquitin-dependent protein catabolic process,cullin-RING ubiquitin ligase complex,ubiquitin-protein transferase activity,protein ubiquitination,ubiquitin protein ligase binding,protein ubiquitination,Cul3-RING ubiquitin ligase complex",P53202,VII
YGR004W,PEX31,NC_001139.9,,502938,504326,+,peroxisome biogenesis protein,Function unknown,"peroxisomal membrane,peroxisome organization,molecular_function,regulation of peroxisome organization,endoplasmic reticulum tubular network,peroxisome organization,endoplasmic reticulum,cell periphery,peroxisome,peroxisomal membrane,membrane,membrane tubulation,membrane,peroxisomal membrane,peroxisome organization",P53203,VII
YGR005C,TFG2,NC_001139.9,,504657,505859,-,transcription factor IIF subunit TFG2,Transcription,"RNA polymerase II complex binding,transcription initiation at RNA polymerase II promoter,transcription initiation at RNA polymerase II promoter,transcription by RNA polymerase II,transcriptional start site selection at RNA polymerase II promoter,transcriptional start site selection at RNA polymerase II promoter,transcription initiation at RNA polymerase II promoter,transcription initiation at RNA polymerase II promoter,transcription elongation by RNA polymerase II,transcription factor TFIIF complex,transcription factor TFIIF complex,nucleotide binding,DNA binding,nucleus,nucleus,transcription factor TFIIF complex,transcription initiation at RNA polymerase II promoter,transcription factor TFIIF complex",P41896,VII
YGR006W,PRP18,NC_001139.9,,506070,506825,+,mRNA splicing protein PRP18,RNA processing and modification,"generation of catalytic spliceosome for second transesterification step,mRNA splicing, via spliceosome,U5 snRNP,U4/U6 x U5 tri-snRNP complex,U2-type post-spliceosomal complex,second spliceosomal transesterification activity,mRNA processing,RNA splicing,nucleus,nucleus,spliceosomal complex,RNA splicing,RNA splicing,spliceosomal complex,second spliceosomal transesterification activity,nuclear mRNA surveillance,nuclear mRNA surveillance,U5 snRNP,U2-type post-spliceosomal complex,generation of catalytic spliceosome for second transesterification step,U4/U6 x U5 tri-snRNP complex,second spliceosomal transesterification activity",P33411,VII
YGR007W,ECT1,NC_001139.9,,506969,507940,+,ethanolamine-phosphate cytidylyltransferase,Lipid transport and metabolism,"ethanolamine-phosphate cytidylyltransferase activity,ethanolamine-phosphate cytidylyltransferase activity,phosphatidylethanolamine biosynthetic process,ethanolamine-phosphate cytidylyltransferase activity,phosphatidylethanolamine biosynthetic process,nucleus,cytoplasm,ethanolamine-phosphate cytidylyltransferase activity,transferase activity,nucleotidyltransferase activity,lipid metabolic process,phosphatidylethanolamine biosynthetic process,phospholipid biosynthetic process,nucleus,nucleus,cytoplasm,biosynthetic process,catalytic activity,ethanolamine-phosphate cytidylyltransferase activity,cytoplasm,cytoplasm,phosphatidylethanolamine biosynthetic process,ethanolamine-phosphate cytidylyltransferase activity",P33412,VII
YGR008C,STF2,NC_001139.9,,508110,508364,-,ATPase-stabilizing factor family protein,Function unknown,"cellular response to desiccation,cytoplasm,molecular_function,mitochondrion,mitochondrion",P16965,VII
YGR009C,SEC9,NC_001139.9,,509047,511002,-,Sec9p,"Intracellular trafficking, secretion, and vesicular transport","SNAP receptor activity,SNAP receptor activity,exocytosis,exocytosis,exocytosis,vesicle fusion,SNARE complex,cytoplasm,cytosol,protein transport,cellular bud neck,vesicle-mediated transport,membrane fusion,SNARE complex,syntaxin binding,vesicle fusion,plasma membrane,SNAP receptor activity,exocytosis",P40357,VII
YGR010W,NMA2,NC_001139.9,,511545,512732,+,nicotinamide-nucleotide adenylyltransferase NMA2,Coenzyme transport and metabolism,"nucleotidyltransferase activity,nicotinate-nucleotide adenylyltransferase activity,nicotinamide-nucleotide adenylyltransferase activity,nicotinamide-nucleotide adenylyltransferase activity,nicotinamide-nucleotide adenylyltransferase activity,NAD biosynthetic process,NAD biosynthetic process,nucleus,adenylyltransferase activity,nucleotide biosynthetic process,nucleotide binding,nicotinamide-nucleotide adenylyltransferase activity,nicotinate-nucleotide adenylyltransferase activity,ATP binding,transferase activity,pyridine nucleotide biosynthetic process,nucleus,nucleus,nucleotidyltransferase activity,catalytic activity,biosynthetic process,NAD biosynthetic process,NAD biosynthetic process,NAD biosynthetic process,NAD biosynthetic process,nicotinate-nucleotide adenylyltransferase activity,nicotinamide-nucleotide adenylyltransferase activity",P53204,VII
YGR012W,MCY1,NC_001139.9,,513159,514340,+,putative cysteine synthase,Amino acid transport and metabolism,"molecular_function,biological_process,mitochondrion,mitochondrion,mitochondrion,mitochondrion,mitochondrial outer membrane,cysteine synthase activity,transferase activity,mitochondrion,mitochondrion,mitochondrial outer membrane,mitochondrial outer membrane,membrane,cysteine biosynthetic process from serine,cytoplasm,cysteine biosynthetic process from serine,cysteine synthase activity",P53206,VII
YGR013W,SNU71,NC_001139.9,,514554,516416,+,Snu71p,RNA processing and modification,"RNA binding,U1 snRNP,U2-type prespliceosome,nucleus,mRNA splicing, via spliceosome,ribonucleoprotein complex,mRNA processing,RNA splicing,nucleus,nucleus,spliceosomal complex,cytoplasm,RNA binding,cytoplasm,mRNA processing",P53207,VII
YGR014W,MSB2,NC_001139.9,,516943,520863,+,Msb2p,Function unknown,"plasma membrane,osmosensor activity,response to osmotic stress,signal transduction involved in filamentous growth,signal transduction involved in filamentous growth,hyperosmotic response,osmosensory signaling pathway via Sho1 osmosensor,establishment of cell polarity,establishment of cell polarity,extracellular region,site of polarized growth,plasma membrane,plasma membrane,membrane,osmosensor activity,osmosensory signaling pathway via Sho1 osmosensor,plasma membrane,site of polarized growth,hyperosmotic response,fungal-type cell wall organization,osmosensor activity,cellular bud site selection,signal transduction involved in filamentous growth,osmosensory signaling pathway via Sho1 osmosensor,extracellular region,cell surface,plasma membrane",P32334,VII
YGR015C,EAT1,NC_001139.9,,521090,522076,-,putative hydrolase,Function unknown,"C-acetyltransferase activity,biological_process,mitochondrion,acetyl-CoA hydrolase activity,transferase activity,hydrolase activity,mitochondrion,mitochondrion,cellular lipid metabolic process,mitochondrion",P53208,VII
YGR016W,YGR016W,NC_001139.9,,522261,522833,+,uncharacterized protein,Function unknown,"molecular_function,biological_process,endoplasmic reticulum,membrane,membrane",P53209,VII
YGR017W,YGR017W,NC_001139.9,,523787,524680,+,uncharacterized protein,Function unknown,"molecular_function,biological_process,nucleus,cytoplasm,FMN binding,pyridoxal phosphate biosynthetic process,pyridoxamine-phosphate oxidase activity",P53210,VII
YGR018C,YGR018C,NC_001139.9,,524365,524694,-,uncharacterized protein,No COG annotation,"molecular_function,biological_process,cellular_component",P53211,VII
YGR019W,UGA1,NC_001139.9,,525229,526644,+,4-aminobutyrate transaminase,Amino acid transport and metabolism,"4-aminobutyrate transaminase activity,gamma-aminobutyric acid catabolic process,cytosol,cytoplasm,transaminase activity,cytoplasm,gamma-aminobutyric acid metabolic process,4-aminobutyrate transaminase activity,transaminase activity,pyridoxal phosphate binding,catalytic activity,catalytic activity,4-aminobutyrate:2-oxoglutarate transaminase activity,transferase activity,4-aminobutyrate transaminase activity,gamma-aminobutyric acid catabolic process,mitochondrion,pyridoxal phosphate binding",P17649,VII
YGR020C,VMA7,NC_001139.9,,526973,527329,-,H(+)-transporting V1 sector ATPase subunit F,Energy production and conversion,"proton transmembrane transport,proton-transporting ATPase activity, rotational mechanism,proton-transporting ATPase activity, rotational mechanism,vacuolar acidification,vacuolar acidification,vacuolar proton-transporting V-type ATPase, V1 domain,vacuolar proton-transporting V-type ATPase, V1 domain,monoatomic ion transmembrane transport,monoatomic ion transmembrane transport,proton transmembrane transport,proton-transporting V-type ATPase, V1 domain,proton-transporting ATPase activity, rotational mechanism,proton-transporting ATPase activity, rotational mechanism,fungal-type vacuole membrane,monoatomic ion transport,vacuolar membrane,vacuole,membrane,membrane",P39111,VII
YGR021W,DPC29,NC_001139.9,,527632,528504,+,Dpc29p,Transcription,"molecular_function,mitochondrion,mitochondrion,mitochondrion,mitochondrion,mitochondrion,mitochondrial translation,mitochondrial translation,mitochondrion",P53212,VII
YGR023W,MTL1,NC_001139.9,,529264,530919,+,Mtl1p,"Intracellular trafficking, secretion, and vesicular transport","molecular_function,fungal-type cell wall organization,cellular response to oxidative stress,cellular response to oxidative stress,cellular response to oxidative stress,cellular response to oxidative stress,cellular response to glucose starvation,cellular response to glucose starvation,cellular response to glucose starvation,membrane,membrane,plasma membrane,vacuole,protein catabolic process in the vacuole,cellular response to glucose starvation",P53214,VII
YGR024C,THG1,NC_001139.9,,531883,532596,-,tRNA guanylyltransferase,Coenzyme transport and metabolism,"tRNA guanylyltransferase activity,tRNA modification,tRNA processing,nucleus,cytoplasm,nucleotide binding,GTP binding,tRNA processing,tRNA guanylyltransferase activity,transferase activity,nucleotidyltransferase activity,metal ion binding,magnesium ion binding,magnesium ion binding,tRNA guanylyltransferase activity,tRNA guanylyltransferase activity,tRNA modification,tRNA modification,tRNA 5'-end processing,tRNA guanylyltransferase activity,tRNA processing",P53215,VII
YGR025W,YGR025W,NC_001139.9,,532639,532941,+,uncharacterized protein,No COG annotation,"molecular_function,biological_process,cellular_component",P53216,VII
YGR026W,YGR026W,NC_001139.9,,532985,533821,+,uncharacterized protein,Function unknown,"molecular_function,biological_process,endoplasmic reticulum,cell periphery,plasma membrane,plasma membrane,membrane,membrane organization,endoplasmic reticulum tubular network organization,endoplasmic reticulum",P53217,VII
YGR027C,RPS25A,NC_001139.9,,534132,534458,-,ribosomal 40S subunit protein S25A,"Translation, ribosomal structure and biogenesis","structural constituent of ribosome,cytoplasmic translation,cytosolic small ribosomal subunit,cytoplasm,cytoplasm,ribosome,ribonucleoprotein complex,structural constituent of ribosome,cytosolic small ribosomal subunit",Q3E792,VII
YGR027W-A,YGR027W-A,NC_001139.9,,536057,537379,+,gag protein,"Replication, recombination and repair",,Q12085,VII
YGR027W-B,YGR027W-B,NC_001139.9,,536057,541325,+,gag-pol fusion protein,"Replication, recombination and repair",,Q12141,VII
YGR028W,MSP1,NC_001139.9,,542203,543291,+,Msp1p,"Post-translational modification, protein turnover, and chaperones","ATP hydrolysis activity,ATP hydrolysis activity,mitochondrial outer membrane,peroxisomal membrane,ATP hydrolysis activity,ATP hydrolysis activity,nucleotide binding,ATP binding,mitochondrion,membrane,mitochondrial outer membrane,mitochondrial outer membrane,peroxisome,mitochondrion,mitochondrion,ATP binding,ATP binding,protein targeting to mitochondrion,mitochondrial outer membrane,peroxisomal membrane,mitochondrial outer membrane,extraction of mislocalized protein from mitochondrial outer membrane",P28737,VII
YGR029W,ERV1,NC_001139.9,,543553,544205,+,flavin-linked sulfhydryl oxidase,No COG annotation,"flavin-linked sulfhydryl oxidase activity,thiol oxidase activity,cellular response to oxidative stress,protein import into mitochondrial intermembrane space,intracellular iron ion homeostasis,mitochondrial intermembrane space,oxidoreductase activity,thiol oxidase activity,mitochondrial intermembrane space,mitochondrion,thiol oxidase activity,thiol oxidase activity,mitochondrion,flavin-linked sulfhydryl oxidase activity,protein import into mitochondrial intermembrane space,mitochondrion,mitochondrion,flavin adenine dinucleotide binding,mitochondrion,flavin-linked sulfhydryl oxidase activity",P27882,VII
YGR030C,POP6,NC_001139.9,,545681,546157,-,ribonuclease P/MRP protein subunit POP6,"Translation, ribosomal structure and biogenesis","RNA binding,RNA binding,nuclear-transcribed mRNA catabolic process, RNase MRP-dependent,rRNA processing,ribonuclease MRP complex,ribonuclease MRP complex,ribonuclease MRP complex,ribonuclease MRP complex,ribonuclease MRP complex,ribonuclease MRP complex,ribonuclease MRP complex,ribonuclease MRP activity,tRNA processing,intronic box C/D RNA processing,ribonuclease MRP complex,nucleus,nucleolar ribonuclease P complex,telomerase holoenzyme complex,cytosol,ribonuclease P activity,hydrolase activity,rRNA processing,tRNA processing,nucleus,nucleus,ribonuclease P activity,nucleic acid binding,RNA phosphodiester bond hydrolysis,RNA phosphodiester bond hydrolysis, endonucleolytic,rRNA primary transcript binding",P53218,VII
YGR031C-A,NAG1,NC_001139.9,,546809,547300,-,Nag1p,No COG annotation,"cell wall biogenesis,plasma membrane,cell wall organization,membrane,membrane,molecular_function,cell periphery",Q8TGN9,VII
YGR031W,IMO32,NC_001139.9,,546441,547469,+,Imo32p,Function unknown,"mitochondrion,mitochondrion,mitochondrion,mitochondrion,triglyceride lipase activity,cellular lipid metabolic process,triglyceride lipase activity,cellular lipid metabolic process,transferase activity,hydrolase activity,mitochondrion,mitochondrion,cellular lipid metabolic process,mitochondrion",P53219,VII
YGR032W,GSC2,NC_001139.9,,548264,553951,+,1%2C3-beta-glucan synthase GSC2,Cell wall/membrane/envelope biogenesis,"(1->3)-beta-D-glucan biosynthetic process,(1->3)-beta-D-glucan biosynthetic process,1,3-beta-D-glucan synthase complex,1,3-beta-D-glucan synthase activity,1,3-beta-D-glucan synthase activity,ascospore wall assembly,ascospore wall assembly,prospore membrane,cellular bud neck,cell periphery,1,3-beta-D-glucan synthase activity,transferase activity,glycosyltransferase activity,sporulation resulting in formation of a cellular spore,cell wall organization,membrane,membrane,1,3-beta-D-glucan synthase activity,1,3-beta-D-glucan synthase complex,membrane,(1->3)-beta-D-glucan biosynthetic process,1,3-beta-D-glucan synthase activity,(1->3)-beta-D-glucan biosynthetic process,fungal-type cell wall polysaccharide biosynthetic process,plasma membrane",P40989,VII
YGR033C,TIM21,NC_001139.9,,554248,554967,-,Tim21p,"Intracellular trafficking, secretion, and vesicular transport","protein import into mitochondrial matrix,protein import into mitochondrial matrix,TIM23 mitochondrial import inner membrane translocase complex,TIM23 mitochondrial import inner membrane translocase complex,molecular_function,TIM23 mitochondrial import inner membrane translocase complex,mitochondrion,mitochondrion,mitochondrion,protein transport,protein transport,mitochondrion,mitochondrial inner membrane,mitochondrial inner membrane,membrane,mitochondrion,protein import into mitochondrial matrix,TIM23 mitochondrial import inner membrane translocase complex",P53220,VII
YGR034W,RPL26B,NC_001139.9,,555812,556672,+,ribosomal 60S subunit protein L26B,No COG annotation,"structural constituent of ribosome,structural constituent of ribosome,translation,translation,ribosome,large ribosomal subunit,RNA binding,structural constituent of ribosome,cytoplasmic translation,cytosolic large ribosomal subunit,ribosome,ribonucleoprotein complex,ribonucleoprotein complex,RNA binding,cytoplasm,cytoplasm,ribosome,cytosolic large ribosomal subunit,cytoplasmic translation,structural constituent of ribosome,RNA binding,ribosomal large subunit biogenesis",P53221,VII
YGR035C,YGR035C,NC_001139.9,,557072,557422,-,uncharacterized protein,No COG annotation,"molecular_function,biological_process,cellular_component",P53222,VII
YGR035W-A,YGR035W-A,NC_001139.9,,557565,557786,+,uncharacterized protein,No COG annotation,"molecular_function,biological_process,cellular_component",Q45U48,VII
YGR036C,CAX4,NC_001139.9,,558149,558868,-,dolichyldiphosphatase,Lipid transport and metabolism,"endoplasmic reticulum membrane,protein N-linked glycosylation,lipid biosynthetic process,dolichyldiphosphatase activity,lipid metabolic process,organic substance biosynthetic process,endoplasmic reticulum,hydrolase activity,dolichyldiphosphatase activity,protein glycosylation,endoplasmic reticulum,endoplasmic reticulum membrane,membrane,membrane,sphingosine-1-phosphate phosphatase activity,phospholipid dephosphorylation",P53223,VII
YGR037C,ACB1,NC_001139.9,,559731,559994,-,long-chain fatty acid transporter ACB1,Lipid transport and metabolism,"extracellular region,extracellular region,lipid binding,nucleus,cytoplasm,cytosol,long-chain fatty acyl-CoA binding,very long-chain fatty acid biosynthetic process,fatty-acyl-CoA binding,fatty-acyl-CoA binding,fatty acid metabolic process,long-chain fatty acyl-CoA binding",P31787,VII
YGR038C-A,YGR038C-A,NC_001139.9,,566145,567467,-,gag protein,"Replication, recombination and repair",,Q12485,VII
YGR038C-B,YGR038C-B,NC_001139.9,,562199,567467,-,gag-pol fusion protein,"Replication, recombination and repair",,Q12269,VII
YGR038W,ORM1,NC_001139.9,,560682,561350,+,sphingolipid homeostasis protein ORM1,Function unknown,"endoplasmic reticulum membrane,molecular_function,response to unfolded protein,negative regulation of sphingolipid biosynthetic process,negative regulation of sphingolipid biosynthetic process,negative regulation of sphingolipid biosynthetic process,negative regulation of sphingolipid biosynthetic process,negative regulation of sphingolipid biosynthetic process,endoplasmic reticulum,endoplasmic reticulum,endoplasmic reticulum,endoplasmic reticulum,endoplasmic reticulum membrane,membrane,SPOTS complex,membrane,sphingolipid biosynthetic process,intracellular sphingolipid homeostasis,SPOTS complex,ceramide metabolic process",P53224,VII
YGR039W,YGR039W,NC_001139.9,,574888,575199,+,uncharacterized protein,No COG annotation,"molecular_function,biological_process,cellular_component",P53225,VII
YGR040W,KSS1,NC_001139.9,,575398,576504,+,mitogen-activated serine/threonine-protein kinase KSS1,Signal transduction mechanisms,"MAP kinase activity,pheromone-dependent signal transduction involved in conjugation with cellular fusion,MAP kinase activity,signal transduction involved in filamentous growth,invasive growth in response to glucose limitation,positive regulation of division septum assembly,positive regulation of division septum assembly,nucleus,cellular bud neck,MAP kinase activity,nucleotide binding,protein serine/threonine kinase activity,ATP binding,kinase activity,transferase activity,cytoplasm,periplasmic space,periplasmic space,cytoplasm,phosphorylation,nucleus,nucleus,protein kinase activity,protein phosphorylation,protein phosphorylation,protein phosphorylation,MAP kinase activity,ATP binding,ATP binding,ATP binding,nucleus,MAPK cascade,cell cycle,protein kinase activity,protein kinase activity,pheromone-dependent signal transduction involved in conjugation with cellular fusion,protein serine/threonine kinase activity,nucleus,cytoplasm,intracellular signal transduction",P14681,VII
YGR041W,BUD9,NC_001139.9,,577487,579130,+,Bud9p,Function unknown,"cellular bud neck,molecular_function,cellular bud site selection,plasma membrane,cellular bud neck,cell cycle,plasma membrane,membrane,plasma membrane",P53226,VII
YGR042W,MTE1,NC_001139.9,,579476,580291,+,Mte1p,Function unknown,"negative regulation of telomere maintenance,site of double-strand break,nucleus,nucleus,cytoplasm,cytoplasm,chromosome, telomeric region,enzyme activator activity",P53227,VII
YGR043C,NQM1,NC_001139.9,,580435,581436,-,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase NQM1,Coenzyme transport and metabolism,"cytoplasm,carbohydrate metabolic process,carbohydrate metabolic process,transaldolase activity,pentose-phosphate shunt,transaldolase activity,cellular response to oxidative stress,transaldolase activity,nucleus,transaldolase activity,transferase activity,pentose-phosphate shunt,pentose-phosphate shunt,intracellular anatomical structure,transaldolase activity,pentose-phosphate shunt, non-oxidative branch",P53228,VII
YGR044C,RME1,NC_001139.9,,582990,583892,-,Rme1p,Transcription,"DNA-binding transcription factor activity, RNA polymerase II-specific,negative regulation of meiotic nuclear division,negative regulation of transcription involved in meiotic cell cycle,positive regulation of transcription involved in G1/S transition of mitotic cell cycle,nucleus,RNA polymerase II cis-regulatory region sequence-specific DNA binding,negative regulation of transcription by RNA polymerase II,positive regulation of transcription by RNA polymerase II,nucleus,metal ion binding,cell cycle,cell division,meiotic cell cycle,DNA binding,nucleus,cytoplasm,positive regulation of transcription by RNA polymerase II,nucleus,nucleus,zinc ion binding,positive regulation of transcription by RNA polymerase II",P32338,VII
YGR045C,YGR045C,NC_001139.9,,583934,584296,-,uncharacterized protein,No COG annotation,"cellular_component,membrane,biological_process,membrane,molecular_function",P53229,VII
YGR046W,TAM41,NC_001139.9,,584895,586052,+,putative phosphatidate cytidylyltransferase,Function unknown,"phosphatidate cytidylyltransferase activity,cardiolipin biosynthetic process,phosphatidate cytidylyltransferase activity,phosphatidate cytidylyltransferase activity,cardiolipin biosynthetic process,cardiolipin biosynthetic process,cardiolipin biosynthetic process,mitochondrial matrix,mitochondrial matrix,mitochondrion,mitochondrion,phosphatidate cytidylyltransferase activity,transferase activity,CDP-diacylglycerol biosynthetic process,phospholipid biosynthetic process,mitochondrion,mitochondrial inner membrane,membrane,mitochondrial inner membrane,nucleotidyltransferase activity,lipid metabolic process,mitochondrion,CDP-diacylglycerol biosynthetic process,cardiolipin biosynthetic process,phosphatidate cytidylyltransferase activity",P53230,VII
