,explained_variance,category,imodulon_size,genes_contained,top_5_gene_weights
SG_7-1,0.007713993266765584,transport,40.0,"['ZMO1_ZMO0001', 'ZMO1_ZMO0026', 'ZMO1_ZMO0069', 'ZMO1_ZMO0087', 'ZMO1_ZMO0127', 'ZMO1_ZMO0128', 'ZMO1_ZMO0130', 'ZMO1_ZMO0131', 'ZMO1_ZMO0133', 'ZMO1_ZMO0145', 'ZMO1_ZMO0172', 'ZMO1_ZMO0188', 'ZMO1_ZMO0265', 'ZMO1_ZMO0319', 'ZMO1_ZMO0560', 'ZMO1_ZMO0657', 'ZMO1_ZMO0694', 'ZMO1_ZMO0794', 'ZMO1_ZMO0902', 'ZMO1_ZMO0912', 'ZMO1_ZMO0937', 'ZMO1_ZMO0968', 'ZMO1_ZMO0979', 'ZMO1_ZMO0992', 'ZMO1_ZMO1001', 'ZMO1_ZMO1040', 'ZMO1_ZMO1291', 'ZMO1_ZMO1440', 'ZMO1_ZMO1497', 'ZMO1_ZMO1521', 'ZMO1_ZMO1522', 'ZMO1_ZMO1593', 'ZMO1_ZMO1620', 'ZMO1_ZMO1681', 'ZMO1_ZMO1682', 'ZMO1_ZMO1715', 'ZMO1_ZMO1716', 'ZMO1_ZMO1717', 'ZMO1_ZMO1947', 'ZMO1_ZMOp32x019']","ZMO1_ZMO1522, ZMO1_ZMO0128, ZMO1_ZMO1521, ZMO1_ZMO1291, ZMO1_ZMO0131"
SG_7-2,0.0013584831625497173,single gene,1.0,['ZMO1_ZMO1937'],ZMO1_ZMO1937
SG_8-1,0.0045414158626523315,single gene,1.0,['ZMO1_ZMO2060'],ZMO1_ZMO2060
SG_8-2,0.0018338637688523063,single gene,1.0,['ZMO1_ZMO1802'],ZMO1_ZMO1802
siderophore_receptor,0.015617125332238913,transport,9.0,"['ZMO1_ZMO0064', 'ZMO1_ZMO2056', 'ZMO1_ZMO1540', 'ZMO1_ZMO1541', 'ZMO1_ZMO1631', 'ZMO1_ZMO1822', 'ZMO1_ZMO1850', 'ZMO1_ZMO1851', 'ZMO1_ZMOp39x007']","ZMO1_ZMO1631, ZMO1_ZMO1822, ZMO1_ZMO2056, ZMO1_ZMO0064, ZMO1_ZMO1851"
sulfate_transport_maybe,0.004314773068915145,poorly characterized,19.0,"['ZMO1_ZMO0001', 'ZMO1_ZMO0005', 'ZMO1_ZMO0006', 'ZMO1_ZMO0055', 'ZMO1_ZMO0562', 'ZMO1_ZMO1261', 'ZMO1_ZMO1262', 'ZMO1_ZMO1263', 'ZMO1_ZMO1264', 'ZMO1_ZMO1265', 'ZMO1_ZMO2016', 'ZMO1_ZMO2070', 'ZMO1_ZMO1456', 'ZMO1_ZMO1461', 'ZMO1_ZMO1462', 'ZMO1_ZMO1483', 'ZMO1_ZMO1802', 'ZMO1_ZMO2037', 'ZMO1_ZMOp39x028']","ZMO1_ZMO1263, ZMO1_ZMO1262, ZMO1_ZMO1261, ZMO1_ZMO2016, ZMO1_ZMO1264"
sulfur_metabolism,0.0020452504074015554,metabolism,7.0,"['ZMO1_ZMO0003', 'ZMO1_ZMO0004', 'ZMO1_ZMO0005', 'ZMO1_ZMO0007', 'ZMO1_ZMO0008', 'ZMO1_ZMO1264', 'ZMO1_ZMO1265']","ZMO1_ZMO0003, ZMO1_ZMO0004, ZMO1_ZMO0007, ZMO1_ZMO0008, ZMO1_ZMO0005"
tetR_family_KO_1,0.004366813311232454,experiment specific,10.0,"['ZMO1_ZMO0798', 'ZMO1_ZMO0799', 'ZMO1_ZMO0800', 'ZMO1_ZMO0801', 'ZMO1_ZMO0963', 'ZMO1_ZMO0964', 'ZMO1_ZMO0965', 'ZMO1_ZMO0966', 'ZMO1_ZMO1612', 'ZMO1_ZMO1856']","ZMO1_ZMO0963, ZMO1_ZMO1856, ZMO1_ZMO0798, ZMO1_ZMO0801, ZMO1_ZMO1612"
tetR_family_KO_2,0.003233192333994106,experiment specific,4.0,"['ZMO1_ZMO0281', 'ZMO1_ZMO0282', 'ZMO1_ZMO0283', 'ZMO1_ZMO0285']","ZMO1_ZMO0282, ZMO1_ZMO0283, ZMO1_ZMO0285, ZMO1_ZMO0281"
toxin_secretion,0.008526597645147849,stress response,5.0,"['ZMO1_ZMO0252', 'ZMO1_ZMO0253', 'ZMO1_ZMO0254', 'ZMO1_ZMO0255', 'ZMO1_ZMOp39x027']","ZMO1_ZMO0253, ZMO1_ZMOp39x027, ZMO1_ZMO0252, ZMO1_ZMO0254, ZMO1_ZMO0255"
translation_1,0.06987446435599742,translation,47.0,"['ZMO1_ZMO0087', 'ZMO1_ZMO0130', 'ZMO1_ZMO0184', 'ZMO1_ZMO0220', 'ZMO1_ZMO0244', 'ZMO1_ZMO0249', 'ZMO1_ZMO0294', 'ZMO1_ZMO0534', 'ZMO1_ZMO0536', 'ZMO1_ZMO0539', 'ZMO1_ZMO0540', 'ZMO1_ZMO0541', 'ZMO1_ZMO0542', 'ZMO1_ZMO0550', 'ZMO1_ZMO0551', 'ZMO1_ZMO0687', 'ZMO1_ZMO0689', 'ZMO1_ZMO0725', 'ZMO1_ZMO0726', 'ZMO1_ZMO0727', 'ZMO1_ZMO0728', 'ZMO1_ZMO0883', 'ZMO1_ZMO0884', 'ZMO1_ZMO0903', 'ZMO1_ZMO0946', 'ZMO1_ZMO1076', 'ZMO1_ZMO1077', 'ZMO1_ZMO1078', 'ZMO1_ZMO1079', 'ZMO1_ZMO1145', 'ZMO1_ZMO1225', 'ZMO1_ZMO1226', 'ZMO1_ZMO1227', 'ZMO1_ZMO1246', 'ZMO1_ZMO1321', 'ZMO1_ZMO1358', 'ZMO1_ZMO1366', 'ZMO1_ZMO1507', 'ZMO1_ZMO1515', 'ZMO1_ZMO1516', 'ZMO1_ZMO1519', 'ZMO1_ZMO1713', 'ZMO1_ZMO1794', 'ZMO1_ZMO1900', 'ZMO1_ZMO2031', 'ZMO1_ZMO1910', 'ZMO1_ZMOp39x017']","ZMO1_ZMO0883, ZMO1_ZMO0884, ZMO1_ZMO1227, ZMO1_ZMO0903, ZMO1_ZMO1225"
translation_2,0.018795397090914268,translation,20.0,"['ZMO1_ZMO0517', 'ZMO1_ZMO0518', 'ZMO1_ZMO0519', 'ZMO1_ZMO0520', 'ZMO1_ZMO2004', 'ZMO1_ZMO0521', 'ZMO1_ZMO0522', 'ZMO1_ZMO0523', 'ZMO1_ZMO0524', 'ZMO1_ZMO0525', 'ZMO1_ZMO0526', 'ZMO1_ZMO0527', 'ZMO1_ZMO0528', 'ZMO1_ZMO0529', 'ZMO1_ZMO0530', 'ZMO1_ZMO0531', 'ZMO1_ZMO0532', 'ZMO1_ZMO0533', 'ZMO1_ZMO0534', 'ZMO1_ZMO0895']","ZMO1_ZMO0521, ZMO1_ZMO2004, ZMO1_ZMO0524, ZMO1_ZMO0525, ZMO1_ZMO0519"
transport_1,0.011073558004626838,transport,21.0,"['ZMO1_ZMO0095', 'ZMO1_ZMO0346', 'ZMO1_ZMO0361', 'ZMO1_ZMO0454', 'ZMO1_ZMO0492', 'ZMO1_ZMO0493', 'ZMO1_ZMO0543', 'ZMO1_ZMO0560', 'ZMO1_ZMO1116', 'ZMO1_ZMO1117', 'ZMO1_ZMO1138', 'ZMO1_ZMO1139', 'ZMO1_ZMO1140', 'ZMO1_ZMO1298', 'ZMO1_ZMO1378', 'ZMO1_ZMO1380', 'ZMO1_ZMO1815', 'ZMO1_ZMO1816', 'ZMO1_ZMO1838', 'ZMO1_ZMO1847', 'ZMO1_ZMO1848']","ZMO1_ZMO1838, ZMO1_ZMO1380, ZMO1_ZMO0560, ZMO1_ZMO1848, ZMO1_ZMO1816"
transport_2,0.006925377050895021,transport,4.0,"['ZMO1_ZMO0001', 'ZMO1_ZMO0116', 'ZMO1_ZMO0117', 'ZMO1_ZMO1437']","ZMO1_ZMO0116, ZMO1_ZMO0117, ZMO1_ZMO1437, ZMO1_ZMO0001"
unknown_1,0.010567345517880855,uncharacterized,2.0,"['ZMO1_ZMO0055', 'ZMO1_ZMO1849']","ZMO1_ZMO0055, ZMO1_ZMO1849"
unknown_3,0.0012107900085525092,uncharacterized,5.0,"['ZMO1_ZMO2077', 'ZMO1_ZMO1047', 'ZMO1_ZMO1160', 'ZMO1_ZMO1162', 'ZMO1_ZMO1650']","ZMO1_ZMO1162, ZMO1_ZMO1160, ZMO1_ZMO1047, ZMO1_ZMO2077, ZMO1_ZMO1650"
unknown_5,0.014025199801227517,uncharacterized,9.0,"['ZMO1_ZMO0263', 'ZMO1_ZMO0264', 'ZMO1_ZMO0265', 'ZMO1_ZMO0266', 'ZMO1_ZMO0267', 'ZMO1_ZMO0268', 'ZMO1_ZMO0269', 'ZMO1_ZMO1324', 'ZMO1_ZMO1466']","ZMO1_ZMO0264, ZMO1_ZMO0263, ZMO1_ZMO0265, ZMO1_ZMO0267, ZMO1_ZMO0268"
unknown_6,0.008413297950175092,uncharacterized,5.0,"['ZMO1_ZMO0281', 'ZMO1_ZMOp32x012', 'ZMO1_ZMOp32x013', 'ZMO1_ZMOp32x014', 'ZMO1_ZMOp32x015']","ZMO1_ZMOp32x012, ZMO1_ZMOp32x013, ZMO1_ZMOp32x014, ZMO1_ZMOp32x015, ZMO1_ZMO0281"
unknown_8,0.006470498903627608,uncharacterized,26.0,"['ZMO1_ZMO0137', 'ZMO1_ZMO0733', 'ZMO1_ZMO0750', 'ZMO1_ZMO1011', 'ZMO1_ZMO1054', 'ZMO1_ZMO1215', 'ZMO1_ZMO2016', 'ZMO1_ZMO1377', 'ZMO1_ZMO1424', 'ZMO1_ZMO1449', 'ZMO1_ZMO1506', 'ZMO1_ZMO1545', 'ZMO1_ZMO1577', 'ZMO1_ZMO1578', 'ZMO1_ZMO1579', 'ZMO1_ZMO1679', 'ZMO1_ZMO1761', 'ZMO1_ZMO1855', 'ZMO1_ZMO1857', 'ZMO1_ZMO1862', 'ZMO1_ZMO1863', 'ZMO1_ZMO1864', 'ZMO1_ZMO1903', 'ZMO1_ZMOp32x007', 'ZMO1_ZMOp36x011', 'ZMO1_ZMOp39x003']","ZMO1_ZMO1862, ZMO1_ZMO1863, ZMO1_ZMO1857, ZMO1_ZMO1864, ZMO1_ZMO1011"
zur_KO,0.005059201338637576,experiment specific,4.0,"['ZMO1_ZMO2037', 'ZMO1_ZMO1940', 'ZMO1_ZMO1941', 'ZMO1_ZMO1943']","ZMO1_ZMO1941, ZMO1_ZMO1940, ZMO1_ZMO2037, ZMO1_ZMO1943"
