locus_tag,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,kegg_maps,EC_number,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change
ZMO1_ZMO2003,ZMO1_ZMO2003,CP023715.1,520096.0,520467.0,+,ribosomal protein S10,"Translation, ribosomal structure and biogenesis",['ZMO1857'],D2N0W0,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.0833586317423143,1.0294754220180862,1.1188607184555746,1.0,1.2234665509205702,1.2258294229895506,1.3105161921419706
ZMO1_ZMO0517,ZMO1_ZMO0517,CP023715.1,520782.0,521510.0,+,ribosomal protein L3,"Translation, ribosomal structure and biogenesis",[],Q5NQ64,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.7672935545183031,0.7298080312111868,0.8220007023038067,1.0,0.7264457102231398,0.7510593224501053,0.8180318266125615
ZMO1_ZMO0518,ZMO1_ZMO0518,CP023715.1,521513.0,522136.0,+,ribosomal protein L4,"Translation, ribosomal structure and biogenesis",[],Q5NQ63,map03010,,0.0,0.0,Integrins beta chain EGF (I-EGF) domain signature.;SignalP-TM,,,,,,,,,[],1.0,0.7397684994426083,0.7506651731916608,0.8361773003538636,1.0,0.7383355732752948,0.7783845517208978,0.8248498493991343
ZMO1_ZMO0519,ZMO1_ZMO0519,CP023715.1,522129.0,522440.0,+,ribosomal protein L23,"Translation, ribosomal structure and biogenesis",[],Q5NQ62,map03010,,0.0,0.0,,,,,,,,,,[],1.0,0.8454623747611852,0.8228015610264882,0.8587204965354974,1.0,0.765365532605089,0.7667427327480745,0.7533907852195484
ZMO1_ZMO0520,ZMO1_ZMO0520,CP023715.1,522445.0,523281.0,+,ribosomal protein L2,"Translation, ribosomal structure and biogenesis",[],Q5NQ61,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.8292071690538843,0.7981459859114819,0.8304276230734876,1.0,0.8205428590608947,0.865259360887225,0.8432116601514809
ZMO1_ZMO2004,ZMO1_ZMO2004,CP023715.1,523284.0,523559.0,+,ribosomal protein S19,"Translation, ribosomal structure and biogenesis","['ZMO0199', 'ZMO0940', 'ZMO1787']",D2N0W1,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.8091236129489351,0.7789979590094185,0.7987262995651205,1.0,0.8865344987818722,0.8739978212879009,0.8990015525577336
ZMO1_ZMO0521,ZMO1_ZMO0521,CP023715.1,523559.0,523939.0,+,ribosomal protein L22,"Translation, ribosomal structure and biogenesis",[],Q5NQ60,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.8581397919821442,0.8729272223799418,0.92212663015748,1.0,0.7782091159853557,0.8093709498038705,0.8437430943571824
ZMO1_ZMO0522,ZMO1_ZMO0522,CP023715.1,523941.0,524636.0,+,ribosomal protein S3,"Translation, ribosomal structure and biogenesis",[],Q5NQ59,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.741854693719995,0.7417074203092069,0.8370147607920231,1.0,0.7282241070454334,0.7676587897533181,0.8046220766779082
ZMO1_ZMO0523,ZMO1_ZMO0523,CP023715.1,524700.0,525131.0,+,ribosomal protein L16,"Translation, ribosomal structure and biogenesis",[],Q5NQ58,map03010,,0.0,-3.71600606528488,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.8791195167666985,0.9128363959144163,0.997420813935071,1.0,0.9124461468332755,0.9996755504009408,1.0323817614682698
ZMO1_ZMO0524,ZMO1_ZMO0524,CP023715.1,525134.0,525337.0,+,ribosomal protein L29,"Translation, ribosomal structure and biogenesis",[],Q5NQ57,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.4259218304603718,1.4998547418637622,1.297306096673262,1.0,1.1068284813073574,1.5246389724137126,1.0289122933630943
ZMO1_ZMO0525,ZMO1_ZMO0525,CP023715.1,525350.0,525601.0,+,ribosomal protein S17,"Translation, ribosomal structure and biogenesis",[],Q5NQ56,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.869019468784755,0.9466104992430592,1.008250824209214,1.0,0.7995101754600377,0.804598641307121,0.9398880308096789
ZMO1_ZMO0526,ZMO1_ZMO0526,CP023715.1,525670.0,526041.0,+,ribosomal protein L14,"Translation, ribosomal structure and biogenesis",[],Q5NQ55,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.6948333054550612,0.6949567269799193,0.735445078283166,1.0,0.7423633266414069,0.7732984794989022,0.824812608626439
ZMO1_ZMO0527,ZMO1_ZMO0527,CP023715.1,526041.0,526358.0,+,ribosomal protein L24,"Translation, ribosomal structure and biogenesis",[],Q5NQ54,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.785144768417416,0.7758195869487039,0.7690303019978785,1.0,0.6306363131231846,0.678275867074686,0.6573682647196172
ZMO1_ZMO0528,ZMO1_ZMO0528,CP023715.1,526351.0,526929.0,+,ribosomal protein L5,"Translation, ribosomal structure and biogenesis",[],Q5NQ53,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.7795504733762909,0.7590677817869107,0.7657821789007683,1.0,0.8948990926270938,0.8897184207575329,0.917497407551484
ZMO1_ZMO0529,ZMO1_ZMO0529,CP023715.1,526973.0,527278.0,+,ribosomal protein S14,"Translation, ribosomal structure and biogenesis",[],Q5NQ52,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.7196995243527345,0.773398228644232,0.8004031209966747,1.0,0.7634704223852414,0.8207539259452873,0.6547666345129415
ZMO1_ZMO0530,ZMO1_ZMO0530,CP023715.1,527292.0,527687.0,+,ribosomal protein S8,"Translation, ribosomal structure and biogenesis",[],Q5NQ51,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.7815025410350329,0.756966381328458,0.8301069240642696,1.0,0.7914418929965957,0.7853112829211533,0.8704503238014488
ZMO1_ZMO0531,ZMO1_ZMO0531,CP023715.1,527687.0,528220.0,+,ribosomal protein L6 signature 1,"Translation, ribosomal structure and biogenesis",[],Q5NQ50,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.9386741409807688,0.9499434151297254,0.9385990801708062,1.0,0.8597881436153474,0.9257235325988805,0.9328904403666729
ZMO1_ZMO0532,ZMO1_ZMO0532,CP023715.1,528220.0,528576.0,+,ribosomal protein L18,"Translation, ribosomal structure and biogenesis",[],Q5NQ49,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.7845023948686813,0.7361614388347291,0.7286478547121974,1.0,0.7956975184812262,0.7758748004822819,0.808542305493288
ZMO1_ZMO0533,ZMO1_ZMO0533,CP023715.1,528577.0,529278.0,+,ribosomal protein S5,"Translation, ribosomal structure and biogenesis",[],Q5NQ48,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.7675404445425961,0.7887564768268098,0.8839552910100114,1.0,0.7393582610659671,0.7638860624070939,0.8263351915494971
ZMO1_ZMO0534,ZMO1_ZMO0534,CP023715.1,529286.0,529462.0,+,ribosomal protein L30,"Translation, ribosomal structure and biogenesis",[],Q5NQ47,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.9771952804115717,1.0065201476765577,1.0362779775380015,1.0,0.9667406642802265,1.0061929479264355,0.9377993501069498
ZMO1_ZMO0536,ZMO1_ZMO0536,CP023715.1,529613.0,530104.0,+,ribosomal protein L15,"Translation, ribosomal structure and biogenesis",[],Q5NQ45,map03010,,-2.03746946186548,-1.97756612057291,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.7776118931209917,0.7886491476582239,0.7609865226982322,1.0,0.7330209586537362,0.7319920389128945,0.7263301783271897
ZMO1_ZMO0537,ZMO1_ZMO0537,CP023715.1,530390.0,531778.0,+,preprotein translocase SecY subunit,"Intracellular trafficking, secretion, and vesicular transport",[],Q5NQ44,map02024;map03060;map03070,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['HspR_Campylobacter_jejuni'],1.0,0.6534808050490808,0.6955983799619185,0.8050030874431704,1.0,0.8025711951292105,0.7371882849880571,0.8977563541268658
ZMO1_ZMO0538,ZMO1_ZMO0538,CP023715.1,531811.0,532482.0,+,adenylate kinase,Nucleotide transport and metabolism,[],Q5NQ43,map00230;map00730;map01100;map01110;map01130,2.7.4.3,0.0,0.0,SignalP-TM,,,,,0.0,0.0,0.0,5.1814474765687906e-15,[],1.0,0.7091750502461813,0.6295693558920906,0.6375043773112433,1.0,0.642952289451065,0.5192424892245551,0.5085592708728751
ZMO1_ZMO0539,ZMO1_ZMO0539,CP023715.1,532817.0,533185.0,+,ribosomal protein S13,"Translation, ribosomal structure and biogenesis",[],Q5NQ42,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.8316526771252898,0.8150742734448746,0.8624233561130661,1.0,0.8491666081242177,0.8921226471661463,0.8820291374738372
ZMO1_ZMO0540,ZMO1_ZMO0540,CP023715.1,533250.0,533639.0,+,ribosomal protein S11,"Translation, ribosomal structure and biogenesis",[],Q5NQ41,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.7003301569371961,0.6656531000946333,0.7379598908226404,1.0,0.7363038156275457,0.7624383102472354,0.7880519458536789
ZMO1_ZMO0541,ZMO1_ZMO0541,CP023715.1,533732.0,534793.0,+,DNA-directed RNA polymerase alpha subunit,Transcription,[],Q5NQ40,map00230;map00240;map01100;map03020,2.7.7.6,0.0,0.0,Anaphylatoxin domain signature.;SignalP-TM,,,,,,,,,[],1.0,0.8134293389879796,0.8377454598712276,0.9145031781697486,1.0,0.7471115594175127,0.8163408009767148,0.9340441646186661
ZMO1_ZMO0542,ZMO1_ZMO0542,CP023715.1,534913.0,535335.0,+,ribosomal protein L17,"Translation, ribosomal structure and biogenesis",[],Q5NQ39,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.7035282499725006,0.7056266939752901,0.7836091667894305,1.0,0.7729996535634744,0.7711743722761546,0.8878054492759908
ZMO1_ZMO0543,ZMO1_ZMO0543,CP023715.1,536103.0,538373.0,+,aconitate hydratase,Energy production and conversion,[],Q5NQ38,map00020;map00630;map00720;map01100;map01110;map01120;map01130;map01200;map01210;map01230,4.2.1.3,0.0,0.0,SignalP-TM,,,,,2.1138190806678633e-15,0.0,6.778563528550373e-16,5.9479070082799935e-15,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori', 'RofA_Streptococcus_pyogenes']",1.0,1.1769922621655686,1.0510321039547137,0.9453315765251923,1.0,1.0778554578618758,0.9937631646701601,0.8830617264366515
ZMO1_ZMO0544,ZMO1_ZMO0544,CP023715.1,538439.0,539701.0,+,isocitrate dehydrogenase NADP-dependent,Energy production and conversion,[],Q5NQ37,map00020;map00480;map00720;map01100;map01110;map01120;map01130;map01200;map01210;map01230;map04146,1.1.1.42,0.0,0.0,SignalP-TM;Thaumatin family profile.,,,,,6.242868345248051e-16,3.558461236241907e-15,2.71591776972313e-15,5.9822585912423516e-15,[],1.0,1.2238989292487656,1.1551624416314175,1.0998169650048253,1.0,1.2149068580787852,1.1186122574989317,1.0624875167276144
ZMO1_ZMO0545,ZMO1_ZMO0545,CP023715.1,539810.0,540604.0,-,bifunctional N-(5-phosphoribosyl)anthranilate isomerase/indole-3-glycerolphosphate synthase,Amino acid transport and metabolism,[],Q5NQ36,map00400;map01100;map01110;map01130;map01230,4.1.1.48,-2.08255395840343,-4.13368186643542,SignalP-TM;SignalP-noTM,,,,,0.0,0.0,0.0,0.0,['NikR_Helicobacter_pylori'],1.0,0.9179967764960749,0.7734086328234647,0.7156402413313232,1.0,0.7835895535546316,0.7636265030365661,0.7650235181194796
ZMO1_ZMO2049,ZMO1_ZMO2049,CP023715.1,540759.0,540986.0,-,hypothetical protein,No COG annotation,[],,,,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,
ZMO1_ZMO0546,ZMO1_ZMO0546,CP023715.1,541002.0,542444.0,+,sulfate transporter,Inorganic ion transport and metabolism,[],Q5NQ35,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,3.4471181422839032e-15,2.8784756535904142e-15,3.0387868359468434e-16,4.278752955314371e-16,['NikR_Helicobacter_pylori'],1.0,0.670249311834827,0.6255586837112219,0.8287066048929598,1.0,0.6626505162022687,0.7496090802723858,0.8296238290986018
ZMO1_ZMO0547,ZMO1_ZMO0547,CP023715.1,542949.0,544439.0,-,voltage-gated chloride channel protein,Inorganic ion transport and metabolism,['ZMO0940'],Q5NQ34,,,0.0,0.0,SignalP-TM,,,,,0.9999999999999843,0.999999999999988,0.9999999999999827,1.0000000000000002,['MogR_Listeria_monocytogenes'],1.0,0.8639716580750857,0.8770933461721331,1.0352640621015188,1.0,0.5953381224902716,0.5864223256186473,0.6754361987497836
ZMO1_ZMO0548,ZMO1_ZMO0548,CP023715.1,544606.0,545619.0,-,signal transduction histidine kinase,Signal transduction mechanisms,"['ZMO0199', 'ZMO1787']",Q5NQ33,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.7619501712962362,0.7362610080813826,0.8525466878296141,1.0,0.7355349670260829,0.7344054902089471,0.9095825000660643
ZMO1_ZMO0549,ZMO1_ZMO0549,CP023715.1,545772.0,548018.0,-,polyribonucleotide nucleotidyltransferase,"Translation, ribosomal structure and biogenesis",[],Q5NQ32,map00230;map00240;map03018,2.7.7.8,0.0,0.0,"Expansin, family-45 endoglucanase-like domain profile.;Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.9698945842251164,0.9200457051487843,0.9507132295233379,1.0,0.9555981329515749,0.9414773116277547,1.0057063531012516
ZMO1_ZMO0550,ZMO1_ZMO0550,CP023715.1,548132.0,548401.0,-,ribosomal protein S15,"Translation, ribosomal structure and biogenesis",[],Q5NQ31,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,0.9778318502493195,1.0820107254990137,1.0941108448053236,1.0,0.9997096250469665,1.131733004905838,1.1284552954505387
ZMO1_ZMO0551,ZMO1_ZMO0551,CP023715.1,548419.0,549330.0,-,tRNA pseudouridine synthase B TruB,"Translation, ribosomal structure and biogenesis",[],Q5NQ30,,5.4.99.25,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,0.7015224016825141,0.6531594592358845,0.6844087966347421,1.0,0.6221713804524703,0.6141717899961989,0.8090194145332678
ZMO1_ZMO0552,ZMO1_ZMO0552,CP023715.1,549327.0,549908.0,-,thymidine kinase,Nucleotide transport and metabolism,[],Q5NQ29,map00240;map00983;map01100,2.7.1.21,0.0,0.0,SignalP-TM,,,,,0.9999999999999686,1.0000000000000022,0.9999999999999397,0.999999999999995,[],1.0,0.6578746186485709,0.6362481745930233,0.8510056150427009,1.0,0.48180254822796004,0.5222103811201071,0.7313862744618318
ZMO1_ZMO0553,ZMO1_ZMO0553,CP023715.1,549932.0,550357.0,-,ribosome-binding factor A,"Translation, ribosomal structure and biogenesis",[],Q5NQ28,,,-2.76037223720586,-2.10748797904173,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.75369761009601,0.6401729913535251,0.5773593975741044,1.0,0.7317361938321201,0.6454590064984168,0.6073197087773593
ZMO1_ZMO0554,ZMO1_ZMO0554,CP023715.1,550504.0,553473.0,-,translation initiation factor IF-2,"Translation, ribosomal structure and biogenesis",[],Q5NQ27,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.8711226845299878,0.8098116618130246,0.8282913554028581,1.0,0.8646425788959718,0.8509157365154211,0.8850292773085862
ZMO1_ZMO0555,ZMO1_ZMO0555,CP023715.1,553477.0,554211.0,-,DUF448 domain-containing protein,Transcription,[],Q5NQ26,,,0.0,0.0,Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.;SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.7544943126288272,0.6616503631153022,0.6670329621321812,1.0,0.8594949467210263,0.8570196481821515,0.8477091847680736
ZMO1_ZMO0556,ZMO1_ZMO0556,CP023715.1,554278.0,555894.0,-,transcription termination protein NusA,Transcription,[],Q5NQ25,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.873774963532326,0.8534893649192619,0.8443655729108989,1.0,0.856572660196078,0.8753615449512656,0.832956022706114
ZMO1_ZMO0557,ZMO1_ZMO0557,CP023715.1,555900.0,556454.0,-,DUF150/RimP N-terminal domain-containing protein,Function unknown,"['ZMO1697', 'ZMO1697', 'ZMO1787']",Q5NQ24,,,0.0,0.0,SignalP-TM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'RofA_Streptococcus_pyogenes']",1.0,0.7206404730548103,0.5931443289378944,0.6347622832215323,1.0,0.730890010864718,0.6755321407257138,0.7509516760726644
ZMO1_ZMO0558,ZMO1_ZMO0558,CP023715.1,556927.0,558183.0,+,glucose sorbosone dehydrogenase,Carbohydrate transport and metabolism,"['ZMO0373', 'ZMO1126']",Q5NQ23,,,0.0,0.0,,,,,,1.0000000000000147,0.9999999999999807,0.9999999999999968,0.9999999999999951,"['MogR_Listeria_monocytogenes', 'RofA_Streptococcus_pyogenes']",1.0,1.140617804532881,1.2526314250961277,1.3063624899719488,1.0,1.071834756449384,1.1362625424502584,1.1584691274702157
ZMO1_ZMO0559,ZMO1_ZMO0559,CP023715.1,558259.0,559086.0,+,AAA domain-containing protein,Inorganic ion transport and metabolism,"['ZMO0100', 'ZMO1126']",Q5NQ22,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,1.1437268645717544,1.181930655042583,1.3849107393729534,1.0,1.0971446292563383,1.2159333665897283,1.2658968649319364
ZMO1_ZMO0560,ZMO1_ZMO0560,CP023715.1,559253.0,560401.0,+,histidinol-phosphate aminotransferase HisC,Amino acid transport and metabolism,[],Q5NQ21,map00340;map00350;map00360;map00400;map00401;map00960;map01100;map01110;map01130;map01230,2.6.1.9,0.0,0.0,4Fe-4S ferredoxin-type iron-sulfur binding region signature.;SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],,,,,,,,
ZMO1_ZMO0561,ZMO1_ZMO0561,CP023715.1,560536.0,562953.0,-,TonB-dependent receptor plug domain,Inorganic ion transport and metabolism,"['ZMO0774', 'ZMO0781', 'ZMO1206', 'ZMO1206', 'ZMO1336', 'ZMO1793', 'ZMO1857']",Q5NQ20,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.21260888452672422,0.6030069215441738,0.3582838670276634,1.0,1.1266276403445865,3.0754616367866325,1.080188660704963
ZMO1_ZMO0562,ZMO1_ZMO0562,CP023715.1,563121.0,564278.0,+,histidinol-phosphate aminotransferase HisC,Amino acid transport and metabolism,[],Q5NQ19,map00340;map00350;map00360;map00400;map00401;map00960;map01100;map01110;map01130;map01230,2.6.1.9,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.6149728200899521,0.4923943362039535,0.2685829953603589,1.0,0.8008635662141171,0.6971615044990712,0.5146492779453286
ZMO1_ZMO0563,ZMO1_ZMO0563,CP023715.1,564421.0,564723.0,-,chorismate mutase,Amino acid transport and metabolism,['ZMO1206'],Q5NQ18,map00400;map01100;map01110;map01130;map01230,5.4.99.5,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,0.0,1.8368230799634895e-15,1.0439949217749019e-15,1.0385234458901575e-15,[],1.0,1.2305411193055238,1.1916402274942932,0.9944179270115455,1.0,1.2760355930363056,1.1500789411088805,0.9394658193686454
ZMO1_ZMO0564,ZMO1_ZMO0564,CP023715.1,564839.0,565852.0,+,farnesyl diphosphate synthetase,Coenzyme transport and metabolism,[],Q5NQ17,map00900;map01110,2.5.1.90,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,0.9999999999999885,0.99999999999996,0.9999999999999785,0.999999999999999,['NikR_Helicobacter_pylori'],1.0,0.8667147732208601,0.7527323345037349,0.7273502313750405,1.0,0.8857458517355211,0.7515101364375243,0.8945202013445602
ZMO1_ZMO0565,ZMO1_ZMO0565,CP023715.1,565894.0,568407.0,+,ATP-dependent helicase HrpB,"Replication, recombination and repair",[],Q5NQ16,,3.6.4.13,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.8096415881717753,0.7455024052506781,0.8258453615082291,1.0,0.8519154443668496,0.7720159156863564,0.9250082315448789
ZMO1_ZMO0566,ZMO1_ZMO0566,CP023715.1,568600.0,569853.0,-,major facilitator superfamily transporter,Amino acid transport and metabolism,"['ZMO0940', 'ZMO1336', 'ZMO1412']",Q5NQ15,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,1.226287809725212,0.5588453063091152,1.1926865570417688,1.0,1.715302500448413,0.6257652058690191,2.007327044146
ZMO1_ZMO0567,ZMO1_ZMO0567,CP023715.1,570074.0,570958.0,-,succinyl-CoA synthetase alpha subunit,Energy production and conversion,[],Q5NQ14,map00020;map00640;map00660;map00720;map01100;map01110;map01120;map01130;map01200,6.2.1.5,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,6.3485780833272905e-15,9.648532827289424e-15,6.506208996254747e-16,1.2762151661317018e-15,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.0348003119871534,0.9698663630649434,0.9749115778320149,1.0,1.07355464076005,1.1029784910671352,1.1859048651052864
ZMO1_ZMO0568,ZMO1_ZMO0568,CP023715.1,571057.0,571443.0,-,succinate dehydrogenase (SQR) hydrophobic subunit,Energy production and conversion,[],Q5NQ13,map00020;map00190;map00620;map00650;map00720;map01100;map01110;map01120;map01130;map01200;map02020,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.8247103901264844,0.5452790727808524,0.6053787280240515,1.0,0.7533803568602234,0.7927524710209158,0.7303386457171827
ZMO1_ZMO0569,ZMO1_ZMO0569,CP023715.1,571443.0,571868.0,-,succinate dehydrogenase (SQR) cytochrome b subunit,Energy production and conversion,[],Q5NQ12,map00020;map00190;map00620;map00650;map00720;map01100;map01110;map01120;map01130;map01200;map02020,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.750772546428363,0.7851935446086449,0.8928872540036371,1.0,0.547585415895954,0.6765368484978292,0.6309604436519333
ZMO1_ZMO0570,ZMO1_ZMO0570,CP023715.1,571995.0,572972.0,+,ribosomal L11 methyltransferase,"Translation, ribosomal structure and biogenesis",[],Q5NQ11,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM",,,,,,,,,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.9841102620408709,0.9346800523238414,1.03235393152472,1.0,0.9392281282329292,0.9682449214803114,0.9306609674032004
ZMO1_ZMO0571,ZMO1_ZMO0571,CP023715.1,573859.0,575613.0,+,MetI-like ABC transporter transmembrane protein,Inorganic ion transport and metabolism,"['ZMO0023', 'ZMO0774', 'ZMO0940', 'ZMO1206', 'ZMO1336', 'ZMO1412', 'ZMO1793']",Q5NQ10,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.9111808658149403,1.015353897244341,1.0735136640836598,1.0,0.7166395370861152,0.7931041397976544,0.9725068106042498
ZMO1_ZMO0572,ZMO1_ZMO0572,CP023715.1,575640.0,576959.0,+,ABC transporter ATPase component,Inorganic ion transport and metabolism,['ZMO1787'],Q5NQ09,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.9893013911791475,1.203237458317068,1.3563983043977315,1.0,0.9870346190547689,1.2061930507582859,1.3340566466524473
ZMO1_ZMO0573,ZMO1_ZMO0573,CP023715.1,577141.0,577788.0,+,glutaredoxin 2 GrxB family,"Post-translational modification, protein turnover, and chaperones",[],Q5NQ08,,,0.0,0.0,SignalP-TM,,,,,0.9999999999999661,0.9999999999999697,0.999999999999958,0.9999999999999859,['NikR_Helicobacter_pylori'],1.0,1.27688999363298,1.2352256753717392,1.4877387966350912,1.0,1.8480463823785949,1.9747059239993834,2.297064943054262
ZMO1_ZMO0574,ZMO1_ZMO0574,CP023715.1,577841.0,580147.0,-,UvrD/REP helicase,"Replication, recombination and repair",[],Q5NQ07,map03420;map03430,3.6.4.12,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,0.890394724620691,0.8973551076436753,1.0978675127949438,1.0,0.9201114262445712,0.9804795301764018,1.154506627869182
ZMO1_ZMO0575,ZMO1_ZMO0575,CP023715.1,580211.0,580762.0,-,RsmD family protein,"Replication, recombination and repair",[],Q5NQ06,,2.1.1.171,0.0,0.0,SignalP-TM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,0.8803097448348292,0.7494392613743586,0.6507758474615468,1.0,0.8091429837266654,0.7244309192149118,0.72596671348794
ZMO1_ZMO0576,ZMO1_ZMO0576,CP023715.1,580779.0,582311.0,-,pseudouridine synthase,"Translation, ribosomal structure and biogenesis",[],Q5NQ05,,5.4.99.22,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.8111844853643957,0.8006956799013187,0.8685351649903893,1.0,0.6798883641571365,0.6766334004186659,0.7883156647517128
ZMO1_ZMO0578,ZMO1_ZMO0578,CP023715.1,582450.0,583718.0,-,sodium:dicarboxylate symporter,Energy production and conversion,"['ZMO0774', 'ZMO1336', 'ZMO1336', 'ZMO1412', 'ZMO1793']",Q5NQ03,,,0.0,-1.28710812972249,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.6987855580163012,0.7512080284726323,0.8136468217540052,1.0,0.7198363027482043,0.6970469298308253,0.7282040518260262
