,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,kegg_maps,EC_number,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change,iMs
ZMO1_ZMO0660,ZMO1_ZMO0660,CP023715.1,653696.0,655603.0,+,chaperone protein DnaK,"Post-translational modification, protein turnover, and chaperones",,Q5NPS6,map03018;map04212;map05152,,0.0,0.0,SignalP-TM,,,,,,,,,['Cap37_Clostridium_acetobutylicum'],1.0,1.10791668,1.198675375,1.121286325,1.0,1.128578191,1.160529156,1.042428505,['heat_response']
ZMO1_ZMO0661,ZMO1_ZMO0661,CP023715.1,655723.0,656850.0,+,chaperone protein DnaJ,"Post-translational modification, protein turnover, and chaperones",,Q5NPS5,,,-2.675126008,-1.916746417,SignalP-TM,,,,,,,,,[],1.0,1.012493855,1.090527248,1.216094162,1.0,0.866755656,0.937112646,1.05439945,
ZMO1_ZMO0662,ZMO1_ZMO0662,CP023715.1,656961.0,658256.0,-,adenylosuccinate lyase,Nucleotide transport and metabolism,,Q5NPS4,map00230;map00250;map01100;map01110;map01130,4.3.2.2,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,6.9e-15,6.33e-14,6.04e-14,0.0,[],1.0,0.846723888,0.811554461,0.935948029,1.0,0.847793439,0.865686577,1.004554999,
ZMO1_ZMO0663,ZMO1_ZMO0663,CP023715.1,658396.0,659079.0,-,DNA repair protein RadC,"Replication, recombination and repair",,Q5NPS3,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.052025989,1.032446427,1.616548576,1.0,1.026465793,1.259750527,1.542084223,
ZMO1_ZMO0664,ZMO1_ZMO0664,CP023715.1,659234.0,662374.0,+,uncharacterized protein,Function unknown,"ZMO1126,ZMO1412,ZMO1787",Q5NPS2,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.066884875,1.066350148,0.803294022,1.0,1.006491434,1.043141635,0.836999475,
ZMO1_ZMO0665,ZMO1_ZMO0665,CP023715.1,662429.0,662629.0,+,YnbE family lipoprotein,Function unknown,"ZMO0940,ZMO1126,ZMO1697,ZMO1697",Q5NPS1,,,0.0,0.0,,,,,,,,,,[],1.0,0.448829561,0.481718266,2.338407413,1.0,0.5026463,0.537777863,1.110488869,
ZMO1_ZMO0666,ZMO1_ZMO0666,CP023715.1,662626.0,663024.0,+,uncharacterized protein,Function unknown,,Q5NPS0,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.993515275,0.82570921,0.364568393,1.0,1.225023952,0.883070905,0.363783711,
ZMO1_ZMO2005,ZMO1_ZMO2005,CP023715.1,663272.0,663589.0,+,ATP synthase FoF1 assembly protein I,Function unknown,"ZMO0023,ZMO1787",D2N0W2,,,-1.014500015,0.0,SignalP-TM,,,,,,,,,[],1.0,1.059746471,1.18641374,1.177924164,1.0,1.257204362,1.221348197,1.405285825,
ZMO1_ZMO0667,ZMO1_ZMO0667,CP023715.1,663634.0,664434.0,+,ATP synthase F0F1 A subunit,Energy production and conversion,,Q5NPR9,map00190;map00195;map01100,,-2.210812092,-5.496811269,SignalP-TM;SignalP-noTM,,,,,0.975603948,0.960842431,0.550637707,0.505858871,[],1.0,0.63413639,0.576368033,0.734837383,1.0,0.84985082,0.804535832,0.993095327,['glycolysis_and_ATP_synthase']
ZMO1_ZMO0668,ZMO1_ZMO0668,CP023715.1,664470.0,664709.0,+,ATP synthase F0F1 C subunit,Energy production and conversion,,Q5NPR8,map00190;map00195;map01100,,-1.668646486,-4.860237635,Post-SET domain profile.,,,,,0.975603948,0.960842431,0.550637707,0.505858871,[],1.0,0.853422513,0.987254313,1.251739818,1.0,0.842744371,0.866246087,1.207971223,"['glycolysis_and_ATP_synthase', 'noise_5']"
ZMO1_ZMO0669,ZMO1_ZMO0669,CP023715.1,664831.0,665331.0,+,ATP synthase F0F1 B/B' subunit,Energy production and conversion,,Q5NPR7,map00190;map00195;map01100,,0.0,-5.018964367,SignalP-TM;SignalP-noTM,,,,,0.975603948,0.960842431,0.550637707,0.505858871,[],1.0,1.21281927,1.482011314,1.589533281,1.0,1.165729687,1.337782134,1.330472565,['noise_5']
ZMO1_ZMO0671,ZMO1_ZMO0671,CP023715.1,665345.0,665983.0,+,ATP synthase F0F1 B/B' subunit,Energy production and conversion,,Q5NPR5,map00190;map00195;map01100,,-1.10457679,-4.718054869,SignalP-TM;SignalP-noTM,,,,,0.975603948,0.960842431,0.550637707,0.505858871,[],1.0,1.452699919,1.764944947,1.919889841,1.0,1.456074196,1.632452225,1.812868908,['noise_5']
ZMO1_ZMO0672,ZMO1_ZMO0672,CP023715.1,666138.0,668132.0,+,excinuclease ABC C subunit,"Replication, recombination and repair",,Q5NPR4,map03420,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.661717646,0.548623032,0.692585096,1.0,0.45679411,0.678460256,0.710228528,
ZMO1_ZMO0673,ZMO1_ZMO0673,CP023715.1,668168.0,668932.0,+,DNA repair protein RecO,"Replication, recombination and repair",,Q5NPR3,map03440,,0.0,0.0,SignalP-TM,,,,,,,,,[],,,,,,,,,
ZMO1_ZMO0674,ZMO1_ZMO0674,CP023715.1,668970.0,669494.0,+,uncharacterized protein,Function unknown,,Q5NPR2,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.443759662,1.482933594,0.696709047,1.0,1.506052102,1.219249388,0.531430557,
ZMO1_ZMO0675,ZMO1_ZMO0675,CP023715.1,669495.0,670304.0,-,LysR family transcriptional regulator,Transcription,,Q5NPR1,map02026,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.197232386,1.27130923,1.403709676,1.0,1.251461085,1.397288898,1.643405918,
ZMO1_ZMO0676,metZ,CP023715.1,670371.0,671579.0,-,cystathionine gamma-synthase,Amino acid transport and metabolism,"ZMO0373,ZMO1787",Q5NPR0,map00270;map00450;map00920;map01100;map01110;map01130;map01230,2.5.1.48,0.0,0.0,SignalP-TM,,,,,0.0,0.0,0.0,0.0,[],1.0,1.216464769,1.168306814,1.058274286,1.0,1.069218328,1.003088612,0.921108804,
ZMO1_ZMO0677,ZMO1_ZMO0677,CP023715.1,671646.0,672695.0,-,3-isopropylmalate dehydrogenase,Energy production and conversion,,Q5NPQ9,map00290;map00660;map01100;map01110;map01210;map01230,1.1.1.85,0.0,0.0,C-terminal cystine knot signature.;SignalP-TM,,,,,0.0,0.0,0.0,0.0,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.041231279,0.971529271,0.883866052,1.0,1.004903966,0.880597231,0.80243922,
ZMO1_ZMO0678,ZMO1_ZMO0678,CP023715.1,672828.0,673451.0,-,nitroreductase,Energy production and conversion,,Q5NPQ8,,,-1.614610026,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.284784043,1.553330434,1.369387351,1.0,1.448830987,1.555283433,1.938229496,['oxidation_response']
ZMO1_ZMO0680,cas1,CP023715.1,673865.0,674842.0,+,CRISPR-associated protein Cas1,"Replication, recombination and repair","ZMO0774,ZMO0781,ZMO0940,ZMO1121,ZMO1206,ZMO1336,ZMO1412,ZMO1787,ZMO1787,ZMO1793",Q5NPQ6,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.193750241,1.215069966,1.423822024,1.0,1.134935708,1.277786547,1.402856439,
ZMO1_ZMO0681,ZMO1_ZMO0681,CP023715.1,674839.0,678279.0,+,CRISPR-associated helicase Cas3 family,"Replication, recombination and repair",ZMO0023,Q5NPQ5,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.101734298,1.209456819,1.377227204,1.0,1.065097189,1.164917079,1.327068009,
ZMO1_ZMO0682,ZMO1_ZMO0682,CP023715.1,678306.0,679625.0,+,CRISPR-associated protein Csy1 family,Function unknown,"ZMO0373,ZMO0774,ZMO1206,ZMO1336,ZMO1356,ZMO1412,ZMO1793",Q5NPQ4,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,1.31609714,1.420447217,1.622482068,1.0,1.196504116,1.264000535,1.386499778,
ZMO1_ZMO0683,ZMO1_ZMO0683,CP023715.1,679637.0,680650.0,+,CRISPR-associated protein Csy2 family,Function unknown,"ZMO0373,ZMO0373",Q5NPQ3,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'RofA_Streptococcus_pyogenes']",1.0,1.113180922,1.185591562,1.456068146,1.0,1.386314886,1.508368113,1.775834795,
ZMO1_ZMO0684,ZMO1_ZMO0684,CP023715.1,680699.0,681739.0,+,CRISPR-associated protein Csy3 family,Function unknown,"ZMO0199,ZMO1336,ZMO1412,ZMO1787",Q5NPQ2,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,['RofA_Streptococcus_pyogenes'],1.0,1.298296168,1.295313193,1.511123023,1.0,1.137317795,1.19384684,1.31933921,
ZMO1_ZMO0685,ZMO1_ZMO0685,CP023715.1,681729.0,682310.0,+,CRISPR-associated protein Csy4 family,Function unknown,ZMO0373,Q5NPQ1,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.184060496,1.240030192,1.402212895,1.0,0.91298672,0.798948292,1.150832678,
ZMO1_ZMO0686,ZMO1_ZMO0686,CP023715.1,682752.0,683174.0,+,signal transduction protein,Function unknown,"ZMO0023,ZMO0781,ZMO1121,ZMO1206,ZMO1206,ZMO1336,ZMO1412,ZMO1412,ZMO1574,ZMO1793",Q5NPQ0,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.022153415,1.11821517,0.985492817,1.0,1.06012698,1.045798238,1.080868154,
ZMO1_ZMO0687,ZMO1_ZMO0687,CP023715.1,683261.0,684922.0,-,acetolactate synthase large subunit,Amino acid transport and metabolism,,Q5NPP9,map00290;map00650;map00660;map00770;map01100;map01110;map01130;map01210;map01230,2.2.1.6,0.0,0.0,SignalP-TM,,,,,1.0,1.0,1.0,1.0,"['CosR_Campylobacter_jejuni', 'Fur_Helicobacter_pylori', 'NikR_Helicobacter_pylori']",1.0,0.708290689,0.639151801,0.606926106,1.0,0.703249906,0.689903869,0.618282921,"['noise_5', 'plasmid_unknown_1', 'translation_1']"
ZMO1_ZMO0688,ZMO1_ZMO0688,CP023715.1,684986.0,685933.0,-,putative auxin efflux carrier,Function unknown,"ZMO1121,ZMO1206,ZMO1336,ZMO1412",Q5NPP8,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['Cap37_Clostridium_acetobutylicum', 'CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.404574312,0.45932827,0.602485881,1.0,1.458613639,1.008861894,1.348041582,['noise_4']
ZMO1_ZMO2052,ZMO1_ZMO2052,CP023715.1,685920.0,686111.0,+,hypothetical protein,No COG annotation,"ZMO0940,ZMO1697,ZMO1937",,,,0.0,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'Fur_Helicobacter_pylori', 'NikR_Helicobacter_pylori']",,,,,,,,,['noise_3']
ZMO1_ZMO0689,ZMO1_ZMO0689,CP023715.1,686143.0,687444.0,-,glucose-fructose oxidoreductase,Function unknown,,Q07982,,1.1.99.28,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,1.0,1.0,1.0,1.0,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.982080918,0.919919058,0.693149664,1.0,0.922733878,0.845959472,0.657514434,"['glycolysis_and_ATP_synthase', 'noise_4', 'translation_1']"
ZMO1_ZMO0691,ZMO1_ZMO0691,CP023715.1,688072.0,689412.0,-,tRNA (uracil-5-)-methyltransferase Gid,"Translation, ribosomal structure and biogenesis",,Q5NPP5,,2.1.1.74,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.863292433,0.798827763,0.899994823,1.0,0.848716035,0.834564561,1.080697587,
ZMO1_ZMO0692,ZMO1_ZMO0692,CP023715.1,689461.0,692238.0,-,DNA gyrase A subunit,"Replication, recombination and repair",,Q5NPP4,,5.99.1.3,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.959366187,0.955154047,1.054664955,1.0,0.890480622,0.954478683,1.098622562,
ZMO1_ZMO0693,ZMO1_ZMO0693,CP023715.1,692307.0,692732.0,-,OsmC family protein,"Post-translational modification, protein turnover, and chaperones","ZMO1697,ZMO1787",Q5NPP3,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,1.901834995,1.919093329,1.680781454,1.0,1.585440063,1.666660707,1.15298224,['ethanol_fermentation']
ZMO1_ZMO0694,ZMO1_ZMO0694,CP023715.1,693014.0,693721.0,-,uncharacterized protein,Function unknown,"ZMO0199,ZMO0373,ZMO0774,ZMO1061,ZMO1336,ZMO1356,ZMO1412,ZMO1787,ZMO1787,ZMO1793,ZMO1857",Q5NPP2,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori', 'RofA_Streptococcus_pyogenes']",1.0,1.682386128,2.003557942,1.350024558,1.0,1.825492654,1.796527693,0.869630737,"['membrane_cobalmin', 'noise_3']"
ZMO1_ZMO0695,ZMO1_ZMO0695,CP023715.1,694450.0,698025.0,-,uncharacterized protein,"Replication, recombination and repair",ZMO1412,Q5NPP1,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,['CosR_Campylobacter_jejuni'],1.0,1.240929245,1.295135005,1.402637075,1.0,1.244172856,1.284162773,1.505518664,
ZMO1_ZMO0697,ZMO1_ZMO0697,CP023715.1,698491.0,698814.0,-,QacE family quaternary ammonium compound efflux SMR transporter,"Intracellular trafficking, secretion, and vesicular transport",,Q5NPN9,,,0.0,0.0,SignalP-TM,,,,,,,,,['CosR_Campylobacter_jejuni'],,,,,,,,,
ZMO1_ZMO0698,ZMO1_ZMO0698,CP023715.1,698881.0,699348.0,-,putative helix-turn-helix XRE-family like protein,Transcription,"ZMO0373,ZMO0774,ZMO1061",Q5NPN8,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,['CosR_Campylobacter_jejuni'],,,,,,,,,['noise_4']
ZMO1_ZMO0699,ZMO1_ZMO0699,CP023715.1,699524.0,699715.0,+,hypothetical protein,No COG annotation,"ZMO1336,ZMO1412",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.159923327,1.289959488,1.146456092,1.0,0.755470102,1.355511298,0.82097704,
ZMO1_ZMO0703,ZMO1_ZMO0703,CP023715.1,699722.0,701944.0,-,peptidase S9 prolyl oligopeptidase active site domain protein,Amino acid transport and metabolism,,Q5NPN5,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.043625726,1.037394635,0.852235639,1.0,1.011037327,0.939858007,0.763489125,
ZMO1_ZMO0704,ZMO1_ZMO0704,CP023715.1,702043.0,703812.0,-,AMP-dependent synthetase and ligase,Lipid transport and metabolism,ZMO1857,Q5NPN2,,,0.0,0.0,SignalP-TM,,,,,,,,,"['MogR_Listeria_monocytogenes', 'RofA_Streptococcus_pyogenes']",1.0,0.84064926,0.805808503,0.898613182,1.0,0.807198647,0.857858581,0.960147927,
ZMO1_ZMO0705,ZMO1_ZMO0705,CP023715.1,703911.0,704456.0,+,putative regulatory protein RecX,Function unknown,"ZMO1126,ZMO1787",Q5NPN1,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.908415759,0.995338679,1.087311493,1.0,0.785555401,1.195028924,1.082340381,['unknown_7']
ZMO1_ZMO0706,ZMO1_ZMO0706,CP023715.1,704465.0,705112.0,-,endonuclease III,"Replication, recombination and repair",,Q5NPN0,map03410,4.2.99.18,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.889213112,0.846085751,0.743165136,1.0,1.026675978,0.958541709,0.829051365,['noise_5']
ZMO1_ZMO0707,ZMO1_ZMO0707,CP023715.1,705109.0,705873.0,-,dihydrodipicolinate reductase,Amino acid transport and metabolism,,Q5NPM9,map00261;map00300;map01100;map01110;map01120;map01130;map01230,1.17.1.8,0.0,0.0,SignalP-TM,,,,,0.0,0.0,0.0,0.0,[],1.0,0.839110972,0.843891188,0.748146475,1.0,0.988493463,0.958825799,0.819568801,
ZMO1_ZMO0708,ZMO1_ZMO0708,CP023715.1,705878.0,706504.0,-,phosphoribosylglycinamide formyltransferase,Nucleotide transport and metabolism,,Q5NPM8,map00230;map00670;map01100;map01110;map01130,2.1.2.2,-2.033013016,-3.581783578,SignalP-TM;SignalP-noTM,,,,,1.26e-13,3.12e-14,6.81e-15,3.02e-13,['MogR_Listeria_monocytogenes'],1.0,0.801390528,0.754707816,0.919981599,1.0,0.727989609,0.802824934,0.9772734,
ZMO1_ZMO0709,ZMO1_ZMO0709,CP023715.1,706497.0,707597.0,-,phosphoribosylformylglycinamidine cyclo-ligase,Nucleotide transport and metabolism,,Q5NPM7,map00230;map01100;map01110;map01130,6.3.3.1,-1.570315409,-3.719389937,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,2.11e-13,1.51e-13,3.86e-14,2.15e-14,['MogR_Listeria_monocytogenes'],1.0,0.986392653,0.928656685,0.848963123,1.0,0.888750549,0.82621908,0.745742875,
ZMO1_ZMO0710,ZMO1_ZMO0710,CP023715.1,707658.0,708749.0,+,uncharacterized protein,Function unknown,"ZMO0199,ZMO0940,ZMO1336,ZMO1787,ZMO1787",Q5NPM6,,,0.0,0.0,SignalP-TM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,0.97450788,0.986592812,0.953883244,1.0,0.915579691,1.007364754,0.99801604,
ZMO1_ZMO0711,ZMO1_ZMO0711,CP023715.1,708753.0,709397.0,+,ATPase involved in DNA replication initiation,"Replication, recombination and repair",,Q5NPM5,,,-1.310750695,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,1.294086284,1.325355189,1.572547772,1.0,1.165163539,1.420345459,1.671277735,
ZMO1_ZMO0712,ZMO1_ZMO0712,CP023715.1,709579.0,711732.0,+,polyphosphate kinase,Inorganic ion transport and metabolism,,Q5NPM4,map00190;map03018,2.7.4.1,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,0.911976391,0.913518448,0.913795608,0.915572354,[],1.0,1.039687549,1.135342854,1.210100247,1.0,1.016501668,1.063459825,1.023738922,
ZMO1_ZMO0713,ZMO1_ZMO0713,CP023715.1,711899.0,713425.0,+,exopolyphosphatase,Nucleotide transport and metabolism,,Q5NPM3,map00230,"3.6.1.11,3.6.1.40",0.0,0.0,,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.891422589,0.916710677,1.117714685,1.0,0.83995867,0.853182602,1.086769886,
ZMO1_ZMO0714,ZMO1_ZMO0714,CP023715.1,713503.0,714675.0,-,ribonuclease D,"Translation, ribosomal structure and biogenesis",,Q5NPM2,,3.1.13.5,-4.003684367,-2.441264669,"Expansin, family-45 endoglucanase-like domain profile.;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.190928632,1.168885708,1.3538417,1.0,1.185219618,1.325410159,1.435440856,
ZMO1_ZMO0715,ZMO1_ZMO0715,CP023715.1,714777.0,716567.0,+,aspartate--tRNA(Asp/Asn) ligase,"Translation, ribosomal structure and biogenesis",,Q5NPM1,map00970,6.1.1.12,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,0.0,0.0,0.0,0.0,[],1.0,0.891965307,0.854119677,0.918301803,1.0,0.892614902,0.905217235,1.043579661,
ZMO1_ZMO0716,ZMO1_ZMO0716,CP023715.1,716600.0,717385.0,+,DUF344/polyphosphate kinase 2 domain-containing protein,Function unknown,"ZMO0100,ZMO1787",Q5NPM0,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.782620366,0.785098296,0.855372553,1.0,0.830738829,0.765471987,0.823972503,
ZMO1_ZMO0718,ZMO1_ZMO0718,CP023715.1,717433.0,717930.0,-,transcription elongation factor GreB,Transcription,,Q5NPL8,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.150678744,1.242195508,1.436027706,1.0,1.028152925,1.032820018,1.303433619,['ETC_and_MEP']
ZMO1_ZMO0719,ZMO1_ZMO0719,CP023715.1,718005.0,720098.0,-,lytic transglycosylase catalytic,Cell wall/membrane/envelope biogenesis,,Q5NPL7,,,-1.489979242,-2.826505549,SignalP-TM;SignalP-noTM,,,,,1.0,1.0,1.0,1.0,[],1.0,0.929489637,0.883271465,0.685451627,1.0,0.961030625,0.959962592,0.722975772,['ETC_and_MEP']
ZMO1_ZMO0720,ZMO1_ZMO0720,CP023715.1,720120.0,720995.0,+,dihydrodipicolinate synthase,Amino acid transport and metabolism,,Q5NPL6,map00261;map00300;map01100;map01110;map01120;map01130;map01230,4.3.3.7,-2.484996151,-4.030767242,SignalP-TM,,,,,0.0,0.0,0.0,0.0,[],1.0,0.957665139,0.898362799,0.790348386,1.0,0.944295012,0.858151984,0.768058391,
ZMO1_ZMO0721,ZMO1_ZMO0721,CP023715.1,720999.0,721481.0,+,SsrA-binding protein,"Post-translational modification, protein turnover, and chaperones",,Q5NPL5,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.818883854,0.855575689,0.949194678,1.0,0.877678345,0.969941325,0.966816475,['noise_5']
ZMO1_ZMO0722,ZMO1_ZMO0722,CP023715.1,721676.0,723721.0,+,endothelin-converting enzyme 1,"Post-translational modification, protein turnover, and chaperones",,Q5NPL4,,,0.0,-1.063432098,SignalP-TM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,1.011713174,0.873128135,0.479800416,1.0,0.985125817,0.842828947,0.491313794,
ZMO1_ZMO2006,secE,CP023715.1,724181.0,724378.0,+,preprotein translocase SecE subunit,"Intracellular trafficking, secretion, and vesicular transport",,D9PNM3,map02024;map03060;map03070,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.467845245,2.045130634,1.41496299,1.0,0.884428373,1.658821886,1.320775616,['noise_5']
ZMO1_ZMO0724,ZMO1_ZMO0724,CP023715.1,724394.0,724933.0,+,transcription termination/antitermination factor NusG,Transcription,,Q5NPL2,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.975138156,0.907040491,0.893142429,1.0,0.903312242,0.855718401,0.858475315,
ZMO1_ZMO0725,ZMO1_ZMO0725,CP023715.1,725020.0,725451.0,+,ribosomal protein L11,"Translation, ribosomal structure and biogenesis",,Q5NPL1,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.698360676,0.675634285,0.697433168,1.0,0.721955813,0.804649162,0.766330652,['translation_1']
ZMO1_ZMO0726,ZMO1_ZMO0726,CP023715.1,725456.0,726157.0,+,ribosomal protein L1,"Translation, ribosomal structure and biogenesis",,Q5NPL0,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.803327669,0.776148102,0.849141376,1.0,0.750047454,0.762643279,0.817022952,['translation_1']
ZMO1_ZMO0727,ZMO1_ZMO0727,CP023715.1,726422.0,726937.0,+,ribosomal protein L10,"Translation, ribosomal structure and biogenesis",,Q5NPK9,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.840888695,0.864445142,0.854404966,1.0,0.964234189,0.98225221,1.05424399,['translation_1']
ZMO1_ZMO0728,ZMO1_ZMO0728,CP023715.1,726995.0,727366.0,+,ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis",,Q5NPK7,map03010,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.892053061,0.883289622,0.933955744,1.0,0.900015304,0.8704799,0.922302294,"['noise_5', 'translation_1']"
ZMO1_ZMO2053,ZMO1_ZMO2053,CP023715.1,727374.0,727751.0,-,uncharacterized protein,No COG annotation,"ZMO1787,ZMO1857",,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],,,,,,,,,"['plasmid_unknown_1', 'unknown_3']"
ZMO1_ZMO0731,ZMO1_ZMO0731,CP023715.1,727830.0,732035.0,+,DNA-directed RNA polymerase beta subunit,Transcription,,Q5NPK5,map00230;map00240;map01100;map03020,2.7.7.6,0.0,0.0,,,,,,,,,,[],1.0,0.830965578,0.831374197,0.906808952,1.0,0.778381924,0.807778235,0.902519019,['noise_5']
