From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Annotation
zmo:ZMO0393	Q5NQI7	unreviewed	Q5NQI7_ZYMMO	Uncharacterized protein	ZMO0393	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	223	1.0
zmo:ZMO0395	Q5NQI4	unreviewed	Q5NQI4_ZYMMO	Uncharacterized protein	ZMO0395	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	122	1.0
zmo:ZMO0397	Q5NQI3	unreviewed	Q5NQI3_ZYMMO	Uncharacterized protein	ZMO0397	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	148	1.0
zmo:ZMO0398	Q5NQI2	unreviewed	Q5NQI2_ZYMMO	Uncharacterized protein	ZMO0398	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	133	1.0
zmo:ZMO0399	Q5NQI1	unreviewed	Q5NQI1_ZYMMO	Peptidase S74 domain-containing protein	ZMO0399	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	333	1.0
zmo:ZMO0400	Q5NQI0	unreviewed	Q5NQI0_ZYMMO	Uncharacterized protein	ZMO0400	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	884	1.0
zmo:ZMO0401	Q5NQH9	unreviewed	Q5NQH9_ZYMMO	Diguanylate cyclase/phosphodiesterase	ZMO0401	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	683	1.0
zmo:ZMO0402	Q5NQH8	reviewed	RLME_ZYMMO	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	rlmE ftsJ rrmJ ZMO0402	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	221	3.0
zmo:ZMO0403	Q5NQH7	unreviewed	Q5NQH7_ZYMMO	Ppx/GppA phosphatase	ZMO0403	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	367	1.0
zmo:ZMO0405	Q5NQH5	unreviewed	Q5NQH5_ZYMMO	ATP-dependent Clp protease, ATP-binding subunit clpA	ZMO0405	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	773	2.0
zmo:ZMO0406	Q5NQH4	unreviewed	Q5NQH4_ZYMMO	Transport permease protein	ZMO0406	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	273	1.0
zmo:ZMO0407	Q5NQH3	unreviewed	Q5NQH3_ZYMMO	GcrA cell cycle regulator	ZMO0407	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	230	1.0
zmo:ZMO0408	Q5NQH2	unreviewed	Q5NQH2_ZYMMO	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD ZMO0408	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	396	3.0
zmo:ZMO0409	Q5NQH1	unreviewed	Q5NQH1_ZYMMO	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	argF ZMO0409	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	313	2.0
zmo:ZMO0410	Q5NQH0	unreviewed	Q5NQH0_ZYMMO	Hsp33 protein	ZMO0410	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	307	1.0
zmo:ZMO0411	Q5NQG9	unreviewed	Q5NQG9_ZYMMO	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	parE ZMO0411	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	660	3.0
zmo:ZMO0412	Q5NQG8	unreviewed	Q5NQG8_ZYMMO	UPF0056 inner membrane protein	ZMO0412	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	208	1.0
zmo:ZMO0413	Q5NQG7	unreviewed	Q5NQG7_ZYMMO	YggT family protein	ZMO0413	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	108	1.0
zmo:ZMO0414	Q5NQG6	unreviewed	Q5NQG6_ZYMMO	MJ0042 family finger-like protein	ZMO0414	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	346	1.0
zmo:ZMO0416	Q5NQG4	unreviewed	Q5NQG4_ZYMMO	Cell division ATP-binding protein FtsE	ftsE ZMO0416	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	233	2.0
zmo:ZMO0417	Q5NQG3	unreviewed	Q5NQG3_ZYMMO	ABC3 transporter permease C-terminal domain-containing protein	ZMO0417	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	291	1.0
zmo:ZMO0418	Q5NQG2	unreviewed	Q5NQG2_ZYMMO	DUF218 domain-containing protein	ZMO0418	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	203	1.0
zmo:ZMO0419	Q5NQG1	unreviewed	Q5NQG1_ZYMMO	Phospholipid/glycerol acyltransferase	ZMO0419	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	250	1.0
zmo:ZMO0420	Q04983	reviewed	TYRC_ZYMMO	Cyclohexadienyl dehydrogenase (Arogenate dehydrogenase) (ADH) (EC 1.3.1.43) (Prephenate dehydrogenase) (PDH) (EC 1.3.1.12)	tyrC ZMO0420	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	293	5.0
zmo:ZMO0421	P34037	reviewed	HIS8_ZYMMO	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol phosphate aminotransferase) (IAP aminotransferase) (Imidazole acetol-phosphate transaminase)	hisC hisH ZMO0421	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	369	4.0
zmo:ZMO0422	Q5NQF8	unreviewed	Q5NQF8_ZYMMO	Transcriptional regulator, BadM/Rrf2 family	ZMO0422	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	135	1.0
zmo:ZMO0423	Q5NQF7	unreviewed	Q5NQF7_ZYMMO	FeS assembly protein SufB	ZMO0423	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	490	1.0
zmo:ZMO0425	Q5NQF5	unreviewed	Q5NQF5_ZYMMO	FeS assembly ATPase SufC	ZMO0425	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	250	1.0
zmo:ZMO0426	Q5NQF4	unreviewed	Q5NQF4_ZYMMO	SufBD protein	ZMO0426	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	371	1.0
zmo:ZMO0427	Q5NQF3	unreviewed	Q5NQF3_ZYMMO	Cysteine desulfurase (EC 2.8.1.7)	ZMO0427	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	407	2.0
zmo:ZMO0428	Q3V8G5	unreviewed	Q3V8G5_ZYMMO	FeS assembly SUF system protein	ZMO0428	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	144	1.0
zmo:ZMO0429	Q5NQF2	unreviewed	Q5NQF2_ZYMMO	Iron-sulfur cluster assembly accessory protein	ZMO0429	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	113	1.0
zmo:ZMO0430	Q5NQF1	unreviewed	Q5NQF1_ZYMMO	Pyrimidine 5'-nucleotidase	ZMO0430	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	222	1.0
zmo:ZMO0431	Q5NQF0	reviewed	DAPD_ZYMMO	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD ZMO0431	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	276	2.0
zmo:ZMO0432	Q5NQE9	unreviewed	Q5NQE9_ZYMMO	Arginase/agmatinase/formiminoglutamase	ZMO0432	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	290	1.0
zmo:ZMO0433	Q5NQE8	reviewed	KGUA_ZYMMO	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk ZMO0433	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	216	2.0
zmo:ZMO0435	Q5NQE6	unreviewed	Q5NQE6_ZYMMO	17 kDa surface antigen	ZMO0435	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	147	2.0
zmo:ZMO0436	Q5NQE5	unreviewed	Q5NQE5_ZYMMO	MAPEG superfamily protein	ZMO0436	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	132	1.0
zmo:ZMO0437	Q5NQE4	unreviewed	Q5NQE4_ZYMMO	Transmembrane protein	ZMO0437	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	73	1.0
zmo:ZMO0439	Q5NQE2	unreviewed	Q5NQE2_ZYMMO	Pseudouridine synthase (EC 5.4.99.-)	ZMO0439	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	374	2.0
zmo:ZMO0441	Q5NQE0	unreviewed	Q5NQE0_ZYMMO	ATP12 ATPase	ZMO0441	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	234	1.0
zmo:ZMO0442	Q5NQD9	unreviewed	Q5NQD9_ZYMMO	HAD-superfamily hydrolase, subfamily IA, variant 3	ZMO0442	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	211	1.0
zmo:ZMO0443	Q5NQD8	unreviewed	Q5NQD8_ZYMMO	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1)	ZMO0443	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	345	2.0
zmo:ZMO0444	Q5NQD7	unreviewed	Q5NQD7_ZYMMO	Lipolytic protein G-D-S-L family	ZMO0444	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	348	1.0
zmo:ZMO0445	Q5NQD6	unreviewed	Q5NQD6_ZYMMO	SGNH hydrolase-type esterase domain-containing protein	ZMO0445	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	521	1.0
zmo:ZMO0446	Q5NQD5	unreviewed	Q5NQD5_ZYMMO	Probable alginate O-acetylase AlgI (Alginate biosynthesis protein AlgI)	ZMO0446	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	468	2.0
zmo:ZMO0447	Q5NQD4	unreviewed	Q5NQD4_ZYMMO	Uncharacterized protein	ZMO0447	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	103	1.0
zmo:ZMO0448	Q5NQD3	unreviewed	Q5NQD3_ZYMMO	Cell wall hydrolase SleB	ZMO0448	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	216	1.0
zmo:ZMO0449	Q5NQD2	unreviewed	Q5NQD2_ZYMMO	Ancillary SecYEG translocon subunit/Cell division coordinator CpoB TPR domain-containing protein	ZMO0449	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	254	2.0
zmo:ZMO0452	Q5NQC9	unreviewed	Q5NQC9_ZYMMO	Pyrrolo-quinoline quinone	ZMO0452	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	494	1.0
zmo:ZMO0453	Q5NQC8	unreviewed	Q5NQC8_ZYMMO	GTPase Der (GTP-binding protein EngA)	der ZMO0453	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	454	2.0
zmo:ZMO0454	Q5NQC7	reviewed	FTHS_ZYMMO	Formate--tetrahydrofolate ligase (EC 6.3.4.3) (Formyltetrahydrofolate synthetase) (FHS) (FTHFS)	fhs ZMO0454	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	557	2.0
zmo:ZMO0456	Q5NQC5	unreviewed	Q5NQC5_ZYMMO	Ferredoxin	ZMO0456	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	105	1.0
zmo:ZMO0457	P0DJA5	reviewed	GRP_ZYMMO	Glutamate uptake regulatory protein	grp ZMO0457	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	164	2.0
zmo:ZMO0458	P0DJA1	reviewed	LOLD_ZYMMO	Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-)	lolD ZMO0458	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	232	3.0
zmo:ZMO0459	Q5NQC2	unreviewed	Q5NQC2_ZYMMO	Lipoprotein releasing system, transmembrane protein, LolC/E family	ZMO0459	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	416	1.0
zmo:ZMO0460	P0DJA8	reviewed	SYP_ZYMMO	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS ZMO0460	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	443	2.0
zmo:ZMO0462	Q5NQB9	reviewed	PYRG_ZYMMO	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG ZMO0462	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	544	4.0
zmo:ZMO0464	Q5NQB7	unreviewed	Q5NQB7_ZYMMO	Protein-export membrane protein SecG	ZMO0464	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	119	2.0
zmo:ZMO0465	Q5NQB6	unreviewed	Q5NQB6_ZYMMO	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA ZMO0465	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	249	3.0
zmo:ZMO0467	Q5NQB4	unreviewed	Q5NQB4_ZYMMO	Parvulin-like PPIase (Peptidyl-prolyl cis-trans isomerase plp) (Periplasmic chaperone PpiD) (Periplasmic folding chaperone) (Rotamase plp)	ZMO0467	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	642	2.0
zmo:ZMO0468	Q5NQB3	unreviewed	Q5NQB3_ZYMMO	Anthranilate synthase component 1 (EC 4.1.3.27)	trpE ZMO0468	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	516	2.0
zmo:ZMO0469	Q5NQB2	unreviewed	Q5NQB2_ZYMMO	Regulatory protein RecX	ZMO0469	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	143	1.0
zmo:ZMO0471	Q5NQB0	unreviewed	Q5NQB0_ZYMMO	Transcriptional regulator, LysR family	ZMO0471	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	319	1.0
zmo:ZMO0472	Q5NQA9	unreviewed	Q5NQA9_ZYMMO	RpsU-divergently transcribed protein	ZMO0472	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	226	1.0
zmo:ZMO0473	Q5NQA8	reviewed	RISB_ZYMMO	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH ZMO0473	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	139	2.0
zmo:ZMO0474	Q5NQA7	unreviewed	Q5NQA7_ZYMMO	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB ZMO0474	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	379	3.0
zmo:ZMO0475	Q5NQA6	unreviewed	Q5NQA6_ZYMMO	Riboflavin synthase (EC 2.5.1.9)	ZMO0475	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	206	2.0
zmo:ZMO0476	Q5NQA5	unreviewed	Q5NQA5_ZYMMO	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ZMO0476	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	323	3.0
zmo:ZMO0477	Q5NQA4	unreviewed	Q5NQA4_ZYMMO	Uncharacterized protein	ZMO0477	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	116	1.0
zmo:ZMO0478	Q5NQA3	unreviewed	Q5NQA3_ZYMMO	Two component transcriptional regulator, winged helix family	ZMO0478	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	239	1.0
zmo:ZMO0479	Q5NQA2	unreviewed	Q5NQA2_ZYMMO	Peptidoglycan-binding LysM	ZMO0479	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	450	1.0
zmo:ZMO0480	Q5NQA1	unreviewed	Q5NQA1_ZYMMO	histidine kinase (EC 2.7.13.3)	ZMO0480	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	763	2.0
zmo:ZMO0482	Q5NQ99	unreviewed	Q5NQ99_ZYMMO	Fructose-1,6-bisphosphatase	ZMO0482	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	332	2.0
zmo:ZMO0483	Q5NQ98	unreviewed	Q5NQ98_ZYMMO	Homoserine dehydrogenase (EC 1.1.1.3)	ZMO0483	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	430	2.0
zmo:ZMO0484	Q5NQ97	unreviewed	Q5NQ97_ZYMMO	Protein MgtC	ZMO0484	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	235	1.0
zmo:ZMO0485	Q5NQ96	unreviewed	Q5NQ96_ZYMMO	Acyl-CoA dehydrogenase domain protein	ZMO0485	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	392	1.0
zmo:ZMO0486	Q5NQ95	unreviewed	Q5NQ95_ZYMMO	FAS1-like dehydratase domain-containing protein	ZMO0486	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	291	1.0
zmo:ZMO0487	Q5NQ94	unreviewed	Q5NQ94_ZYMMO	HpcH/HpaI aldolase	ZMO0487	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	270	1.0
zmo:ZMO0488	Q5NQ93	unreviewed	Q5NQ93_ZYMMO	Lipoprotein	ZMO0488	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	334	1.0
zmo:ZMO0490	Q5NQ91	unreviewed	Q5NQ91_ZYMMO	Oligopeptidase B (EC 3.4.21.83)	ZMO0490	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	688	1.0
zmo:ZMO0491	Q5NQ90	unreviewed	Q5NQ90_ZYMMO	Peptidase M24	ZMO0491	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	599	1.0
zmo:ZMO0492	Q5NQ89	unreviewed	Q5NQ89_ZYMMO	Nitrogen regulatory protein P-II	ZMO0492	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	112	2.0
zmo:ZMO0493	Q5NQ88	unreviewed	Q5NQ88_ZYMMO	Glutamine synthetase (EC 6.3.1.2)	ZMO0493	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	470	3.0
zmo:ZMO0494	Q5NQ87	unreviewed	Q5NQ87_ZYMMO	Bcr/CflA family efflux transporter	ZMO0494	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	416	2.0
zmo:ZMO0495	Q5NQ86	unreviewed	Q5NQ86_ZYMMO	Autotransporter secretion inner membrane protein TamB	ZMO0495	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	1425	1.0
zmo:ZMO0496	Q5NQ85	unreviewed	Q5NQ85_ZYMMO	Surface antigen (D15)	ZMO0496	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	690	1.0
zmo:ZMO0497	Q5NQ84	unreviewed	Q5NQ84_ZYMMO	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	gph ZMO0497	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	233	3.0
zmo:ZMO0498	Q5NQ83	reviewed	GLMU_ZYMMO	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU ZMO0498	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	450	4.0
zmo:ZMO0499	Q5NQ82	unreviewed	Q5NQ82_ZYMMO	peptidoglycan glycosyltransferase (EC 2.4.99.28)	ZMO0499	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	702	3.0
zmo:ZMO0500	Q5NQ81	unreviewed	Q5NQ81_ZYMMO	AcrB/AcrD/AcrF family protein	ZMO0500	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	656	1.0
zmo:ZMO0501	Q5NQ80	unreviewed	Q5NQ80_ZYMMO	GtrA family protein	ZMO0501	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	150	1.0
zmo:ZMO0502	Q5NQ79	unreviewed	Q5NQ79_ZYMMO	Uncharacterized protein	ZMO0502	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	541	1.0
zmo:ZMO0503	Q5NQ78	unreviewed	Q5NQ78_ZYMMO	Glycosyl transferase family 2	ZMO0503	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	389	1.0
zmo:ZMO0505	O66114	reviewed	Y505_ZYMMO	Uncharacterized RNA pseudouridine synthase ZMO0505 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	ZMO0505	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	219	2.0
zmo:ZMO0506	Q5NQ75	unreviewed	Q5NQ75_ZYMMO	Class I peptide chain release factor	ZMO0506	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	139	1.0
zmo:ZMO0507	O66116	reviewed	Y507_ZYMMO	Protein ZMO0507	ZMO0507	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	161	1.0
zmo:ZMO0508	Q5NQ73	unreviewed	Q5NQ73_ZYMMO	GCN5-related N-acetyltransferase	ZMO0508	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	143	1.0
zmo:ZMO0509	Q5NQ72	unreviewed	Q5NQ72_ZYMMO	Integral membrane protein	ZMO0509	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	239	1.0
zmo:ZMO0510	O66119	reviewed	ODP2_ZYMMO	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	pdhC pdhB ZMO0510	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	440	3.0
zmo:ZMO0511	O66120	reviewed	Y511_ZYMMO	Uncharacterized acyl-CoA thioester hydrolase ZMO0511 (EC 3.1.2.-)	ZMO0511	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	149	2.0
zmo:ZMO0512	P50970	reviewed	DLDH_ZYMMO	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes)	lpd ZMO0512	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	466	3.0
zmo:ZMO0513	Q5NQ68	unreviewed	Q5NQ68_ZYMMO	Phosphoesterase PA-phosphatase related protein	ZMO0513	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	235	1.0
zmo:ZMO2002	D2N0V9	unreviewed	D2N0V9_ZYMMO	Small ribosomal subunit protein uS12	rpsL ZMO2002	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	123	2.0
zmo:ZMO0514	Q5NQ67	reviewed	RS7_ZYMMO	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	rpsG ZMO0514	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	156	2.0
zmo:ZMO0515	Q5NQ66	reviewed	EFG_ZYMMO	Elongation factor G (EF-G)	fusA ZMO0515	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	690	2.0
zmo:ZMO0516	Q5NQ65	reviewed	EFTU_ZYMMO	Elongation factor Tu (EF-Tu) (EC 3.6.5.3)	tuf ZMO0516	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	397	3.0
zmo:ZMO2003	D2N0W0	unreviewed	D2N0W0_ZYMMO	Small ribosomal subunit protein uS10	rpsJ ZMO2003	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	123	2.0
zmo:ZMO0517	Q5NQ64	reviewed	RL3_ZYMMO	Large ribosomal subunit protein uL3 (50S ribosomal protein L3)	rplC ZMO0517	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	242	2.0
zmo:ZMO0518	Q5NQ63	reviewed	RL4_ZYMMO	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	rplD ZMO0518	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	207	2.0
zmo:ZMO0519	Q5NQ62	reviewed	RL23_ZYMMO	Large ribosomal subunit protein uL23 (50S ribosomal protein L23)	rplW ZMO0519	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	103	2.0
zmo:ZMO0520	Q5NQ61	reviewed	RL2_ZYMMO	Large ribosomal subunit protein uL2 (50S ribosomal protein L2)	rplB ZMO0520	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	278	2.0
zmo:ZMO2004	D2N0W1	unreviewed	D2N0W1_ZYMMO	Small ribosomal subunit protein uS19	rpsS ZMO2004	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	91	2.0
zmo:ZMO0521	Q5NQ60	reviewed	RL22_ZYMMO	Large ribosomal subunit protein uL22 (50S ribosomal protein L22)	rplV ZMO0521	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	126	2.0
zmo:ZMO0522	Q5NQ59	reviewed	RS3_ZYMMO	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)	rpsC ZMO0522	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	231	2.0
